Constell,Number,GCVS,n_GCVS,OriginClass,Code1,SubCode11,SubCode12,ProcClass,Code2,SubCode21,SubCode22,CMP,n_OriginClass,CurveType,VarType,Max,MinI,A1,MinII,A2,dA,f_Max,flt,Period [d],Log10.P [d],u_Period,f_Period,DI,u_DI,dI,DII,dII,MinII-MinI,SpType,B_SpCode1,b_SpCode1,LumClass1,B_SpCode2,b_SpCode2,LumClass2,ChromActive,RAh,RAm,RAs,DE-,DEd,DEm,DEs
1,12,RT And    , * ,CB      ,3,1,0, N   ,0,0,0,   # , # , EA  , RS      ,8.97,9.38,0.41,9.28,0.31,0.1, # , V  ,0.628921628,-0.2014, # , v ,170, # ,0,170,0,999, F8V              ,480,0,5,610,0,0, a ,23,11,10.1,,??,,
1,25,SY And    , # ,unknown ,0,0,0, SA  ,2,1,0,   * , # , EA  , ======= ,10.7,12.2,1.5,99.99,9.99,9.99, # , V  ,34.90847015,1.5429, # , n ,60, # ,27,999,999,999, A0               ,300,0,0,610,0,0, q ,13,16,0.4,,??,,
1,27,TT And    , * ,SA      ,2,1,0, N   ,0,0,0,   # , # , EA  , ======= ,11.5,13,1.5,11.6,0.1,1.4, # , V  ,2.765141964,0.4417, # , v ,140, # ,0,999,999,999, A?              ,300,399,0,570,0,4, q ,23,13,22.9,,??,,
1,30,TW And    , * ,SA      ,2,1,0, N   ,0,0,0,   # , # , EA  , ======= ,8.98,11.04,2.06,9.13,0.15,1.91, # , V  ,4.122834206,0.6152, # , v ,130, # ,20,999,999,999, F0V              ,400,0,5,600,0,0, q ,31,8,2,,??,,
1,34,UU And    , # ,SA      ,2,1,0, N   ,0,0,0,   # , # , EA  , ======= ,11.2,14.2,3,11.4,0.2,2.8, # , V  ,1.486292958,0.1721, # , v ,170, # ,0,999,999,999, A8IV/V              ,380,0,4.5,0,0,0, q ,43,45,0.1,,??,,
1,45,WW And    , * ,SA      ,2,1,0, N   ,0,0,0,   # , # , EA  , ======= ,10.92,11.59,0.67,11.08,0.16,0.51, # , V  ,23.28521347,1.3671, # , n ,50, # ,0,999,0,999, A0:K0III        ,300,0,0,550,600,3, q ,23,44,53.5,,??,,
1,46,WX And    , # ,unknown ,0,0,0, SA  ,2,1,0,   * , # , EA  , ======= ,12.1,13.8,1.7,99.99,9.99,9.99, # , V  ,3.001133919,0.4773, # , d ,120, # ,30,999,999,999, F5IV                ,450,0,4,0,0,0, q ,45,37,0.3,,??,,
1,48,WZ And    , # ,CB      ,3,1,0, N   ,0,0,0,   # , # , EB  , ======= ,11.6,12,0.4,11.61,0.01,0.39, # , V  ,0.69566381,-0.1576, # , v ,999, # ,0,999,0,999, F5                  ,450,0,0,0,0,0, q ,10,14,3.6,,??,,
1,51,XZ And    , * ,SA      ,2,1,0, N   ,0,0,0,   # , L , EA  , ======= ,9.91,12.45,2.54,10.16,0.25,2.29, # , V  ,1.357309103,0.1327, # , v ,160, # ,0,260,999,999, A1V?            ,310,0,5,550,0,4, q ,15,65,1.5,,??,,
1,55,AA And    , # ,CB      ,3,1,0, N   ,0,0,0,   # , # , EA  , ======= ,10.3,11.2,0.9,10.6,0.3,0.6, # , p  ,0.93509692,-0.0291, # , n ,210, # ,0,999,999,999, B8V                 ,280,0,5,0,0,0, q ,23,5,22.8,,??,,
