Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Source_SNR_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00001.fits	0	60229.307415578514	2460229.3074155785	NaN	NaN	0	1.214326	NaN	-10.3	60	NaN	NaN	6344566.436895574	1983.2075419578086	33557	0	4400	4446214.485559566	1559.9026647548371	33122	0	4424
r_pp_light_00002.fits	0	60229.30819113413	2460229.308191134	NaN	NaN	0	1.216639	NaN	-10.4	60	NaN	NaN	6316072.532068027	1977.6592913101547	36683	0	4479	4554364.011443662	1586.3592628954048	34750	0	4478
r_pp_light_00003.fits	0	60229.308967673685	2460229.3089676737	NaN	NaN	0	1.218981	NaN	-10.3	60	NaN	NaN	5632941.362832528	1833.2779727109464	38952	0	4475	4195393.370873925	1497.9967035855586	35154	0	4472
r_pp_light_00004.fits	0	60229.30974493036	2460229.3097449304	NaN	NaN	0	1.221355	NaN	-10.4	60	NaN	NaN	5936430.053072695	1898.454734636471	34153	0	4478	4354011.965933349	1537.4705760199029	34149	0	4476
r_pp_light_00005.fits	0	60229.3105208911	2460229.310520891	NaN	NaN	0	1.223753	NaN	-10.3	60	NaN	NaN	6151033.13366983	1943.5256678299766	34272	0	4477	4533097.882905523	1581.2053360124912	34462	0	4474
r_pp_light_00006.fits	0	60229.31129667815	2460229.311296678	NaN	NaN	0	1.226176	NaN	-10.4	60	NaN	NaN	5895858.391345458	1889.8302975573035	36067	0	4475	4388725.55990059	1546.022581051877	35138	0	4478
r_pp_light_00007.fits	0	60229.31207291642	2460229.3120729164	NaN	NaN	0	1.228632	NaN	-10.3	60	NaN	NaN	5814993.983928716	1872.6070283222043	34594	0	4484	4317999.102193216	1528.5609756144097	34047	0	4473
r_pp_light_00008.fits	0	60229.312848622445	2460229.3128486224	NaN	NaN	0	1.231113	NaN	-10.4	60	NaN	NaN	6029127.691665775	1918.023831333307	35300	0	4478	4420324.514440827	1553.7470814524224	33909	0	4471
r_pp_light_00009.fits	0	60229.31362509262	2460229.3136250926	NaN	NaN	0	1.233632	NaN	-10.3	60	NaN	NaN	6065750.269188933	1925.7281096867125	34902	0	4482	4479718.07066418	1568.2655948767806	33990	0	4477
r_pp_light_00010.fits	0	60229.314401400276	2460229.3144014003	NaN	NaN	0	1.236174	NaN	-10.3	60	NaN	NaN	6150571.828837114	1943.4185026320436	34335	0	4474	4543185.9018992055	1583.6409719141425	33464	0	4473
r_pp_light_00011.fits	0	60229.31517959479	2460229.315179595	NaN	NaN	0	1.238759	NaN	-10.3	60	NaN	NaN	6409929.622678739	1996.8279926986445	34424	0	4469	4504660.674239284	1574.3224913519919	33902	0	4476
r_pp_light_00012.fits	0	60229.31595599558	2460229.3159559956	NaN	NaN	0	1.241364	NaN	-10.3	60	NaN	NaN	6124071.521105622	1937.9253209560131	34615	0	4482	4467979.252476182	1565.3967016075712	33843	0	4474
r_pp_light_00013.fits	0	60229.31673187483	2460229.316731875	NaN	NaN	0	1.243998	NaN	-10.3	60	NaN	NaN	6231209.078527537	1960.1278981990126	33045	0	4468	4592761.401410063	1595.5799874486024	33273	0	4470
r_pp_light_00014.fits	0	60229.317507696804	2460229.317507697	NaN	NaN	0	1.246663	NaN	-10.3	60	NaN	NaN	6518469.759388445	2018.8534074320648	35257	0	4467	4558720.884280991	1587.3664940712129	34350	0	4466
r_pp_light_00015.fits	0	60229.31828368036	2460229.3182836804	NaN	NaN	0	1.249363	NaN	-10.3	60	NaN	NaN	6502985.966386379	2015.762601783545	34395	0	4478	4609465.546030438	1599.5925694010239	33085	0	4470
r_pp_light_00016.fits	0	60229.31906070607	2460229.319060706	NaN	NaN	0	1.25205	NaN	-10.3	60	NaN	NaN	6479632.8326084465	2011.0507086636883	34514	0	4483	4507235.288442697	1574.914002495168	33263	0	4467
r_pp_light_00017.fits	0	60229.31983667845	2460229.3198366784	NaN	NaN	0	1.254808	NaN	-10.3	60	NaN	NaN	6375562.2812825255	1989.8455485734535	32517	0	4478	4612143.678682467	1600.2536946375292	32386	0	4475
r_pp_light_00018.fits	0	60229.32061187504	2460229.320611875	NaN	NaN	0	1.257595	NaN	-10.3	60	NaN	NaN	6165356.704949261	1946.4982531088074	36264	0	4475	4569679.443117209	1590.0349083256897	33740	0	4473
