Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00001.fits	0	60212.339959004894	2460212.339959005	NaN	NaN	0	1.140293	NaN	-10.4	40	NaN	NaN	3963377.547046553	39220	29.99678714859438	2490	462900.84729595523	17597	12.847197106690778	2212
r_pp_light_00002.fits	0	60212.34050364606	2460212.340503646	NaN	NaN	0	1.140365	NaN	-10.4	40	NaN	NaN	4333632.212991508	39152	33.57020180334908	2329	464085.61874799593	12672	18.201022146507665	2348
r_pp_light_00003.fits	0	60212.34104847256	2460212.3410484726	NaN	NaN	0	1.140441	NaN	-10.4	40	NaN	NaN	5140033.904265365	37138	33.84512195121951	2460	462539.2231247617	8221	19.455555555555556	2430
r_pp_light_00004.fits	0	60212.34159358824	2460212.3415935882	NaN	NaN	0	1.140515	NaN	-10.3	40	NaN	NaN	4124823.450276148	40046	34.37876802096986	2289	469954.58104956907	15685	18.361570247933884	2420
r_pp_light_00005.fits	0	60212.34213702567	2460212.3421370257	NaN	NaN	0	1.140596	NaN	-10.4	40	NaN	NaN	3905112.9257774674	44128	38.523148148148145	1944	463979.98515332997	15360	18.9669099756691	2055
r_pp_light_00006.fits	0	60212.34268170176	2460212.3426817018	NaN	NaN	0	1.140681	NaN	-10.4	40	NaN	NaN	3877681.720959712	40207	37.853353353353356	1998	466224.0473279737	17998	18.404595404595405	2002
r_pp_light_00007.fits	0	60212.343225995544	2460212.3432259955	NaN	NaN	0	1.140761	NaN	-10.3	40	NaN	NaN	4007753.412622053	42246	35.14231896190875	2389	468751.25519858307	15126	19.06326963906582	2355
r_pp_light_00008.fits	0	60212.34377025487	2460212.343770255	NaN	NaN	0	1.140851	NaN	-10.4	40	NaN	NaN	3650497.1092320527	41086	38.2952952952953	1998	463367.1795470836	19910	18.705357142857142	2016
r_pp_light_00009.fits	0	60212.344313761685	2460212.3443137617	NaN	NaN	0	1.140942	NaN	-10.4	40	NaN	NaN	3881866.9953610506	41762	39.4290780141844	1974	460724.7145530528	16544	19.88401559454191	2052
r_pp_light_00010.fits	0	60212.34485905105	2460212.344859051	NaN	NaN	0	1.141035	NaN	-10.4	40	NaN	NaN	3913763.514676086	40114	32.87182587666263	2481	463868.7291276412	16950	16.538955479452056	2336
r_pp_light_00011.fits	0	60212.34540467616	2460212.345404676	NaN	NaN	0	1.141129	NaN	-10.3	40	NaN	NaN	4037422.8930065027	42610	38.077229696063775	2007	461758.6486801202	15671	21.40139095876801	2013
r_pp_light_00012.fits	0	60212.3459489122	2460212.345948912	NaN	NaN	0	1.141227	NaN	-10.4	40	NaN	NaN	4079843.1994882952	38314	34.568	2375	463383.16659389687	12878	16.794283239497616	2309
r_pp_light_00013.fits	0	60212.34649253497	2460212.346492535	NaN	NaN	0	1.141326	NaN	-10.4	40	NaN	NaN	4447223.71884695	39211	34.84971849285405	2309	460772.9487212398	11732	19.561254768969903	2359
r_pp_light_00014.fits	0	60212.34703674773	2460212.3470367477	NaN	NaN	0	1.141432	NaN	-10.4	40	NaN	NaN	4451084.189520581	40810	35.40594888981986	2387	462875.80518704787	12223	18.95539808253439	2399
r_pp_light_00015.fits	0	60212.347580173984	2460212.347580174	NaN	NaN	0	1.141539	NaN	-10.4	40	NaN	NaN	4449482.350047526	41565	36.9917139119058	2293	463767.53617908433	12385	21.62783851976451	2378
r_pp_light_00016.fits	0	60212.348124896176	2460212.348124896	NaN	NaN	0	1.141645	NaN	-10.4	40	NaN	NaN	3965026.8430536124	40596	35.45577655522641	2363	465781.5032184936	16972	20.032486463973346	2401
r_pp_light_00017.fits	0	60212.34866828704	2460212.348668287	NaN	NaN	0	1.141757	NaN	-10.4	40	NaN	NaN	4039389.750925818	41196	34.164597701149425	2175	465089.47172421764	16079	21.554030874785592	2332
r_pp_light_00018.fits	0	60212.34921289375	2460212.3492128938	NaN	NaN	0	1.141871	NaN	-10.4	40	NaN	NaN	4010832.546028779	38054	34.99313009875483	2329	466593.19358480483	16804	21.49442839455221	2423
r_pp_light_00019.fits	0	60212.3497569561	2460212.349756956	NaN	NaN	0	1.141985	NaN	-10.4	40	NaN	NaN	4310245.456507761	42424	36.09904430929626	2302	464855.57944926695	12938	21.952441077441076	2376
r_pp_light_00020.fits	0	60212.350301736034	2460212.350301736	NaN	NaN	0	1.142108	NaN	-10.4	40	NaN	NaN	4130907.6794874403	41961	34.625638841567294	2348	467567.9444758159	15906	19.91160452450775	2387
r_pp_light_00021.fits	0	60212.35084780119	2460212.350847801	NaN	NaN	0	1.142225	NaN	-10.4	40	NaN	NaN	4314687.831201771	41279	36.53042433947158	2498	461427.11808034766	12877	18.822005097706032	2354
r_pp_light_00022.fits	0	60212.35139128473	2460212.3513912847	NaN	NaN	0	1.142349	NaN	-10.4	40	NaN	NaN	4285603.112588275	39247	36.52920813500649	2311	464317.2756053881	13666	21.875	2392
r_pp_light_00023.fits	0	60212.351935937535	2460212.3519359375	NaN	NaN	0	1.142477	NaN	-10.4	40	NaN	NaN	4175943.6024287306	41197	37.40843845150065	2299	463669.50068930123	15040	21.53440270156184	2369
r_pp_light_00024.fits	0	60212.35248019686	2460212.352480197	NaN	NaN	0	1.142604	NaN	-10.3	40	NaN	NaN	4142712.4636356053	44070	35.63157894736842	2375	466755.00341831916	14746	20.07299875570303	2411
r_pp_light_00025.fits	0	60212.35302502336	2460212.3530250234	NaN	NaN	0	1.142737	NaN	-10.4	40	NaN	NaN	4110785.04006787	41544	37.378632478632476	2340	465022.10017094604	13791	23.014529914529916	2340
r_pp_light_00026.fits	0	60212.35356886592	2460212.353568866	NaN	NaN	0	1.142872	NaN	-10.4	40	NaN	NaN	3809077.8704348155	40472	43.13065582104728	1967	463745.6186122376	18127	24.516346153846154	2080
r_pp_light_00027.fits	0	60212.3541134838	2460212.354113484	NaN	NaN	0	1.143011	NaN	-10.4	40	NaN	NaN	3874027.039921275	41958	45.385838891739354	1949	463246.48667185847	17116	24.52535007242878	2071
r_pp_light_00028.fits	0	60212.354657859076	2460212.354657859	NaN	NaN	0	1.143151	NaN	-10.4	40	NaN	NaN	3892294.0506747905	43394	43.94054054054054	2035	465335.1886418585	16138	25.384924623115577	1990
r_pp_light_00029.fits	0	60212.35520269675	2460212.3552026968	NaN	NaN	0	1.143295	NaN	-10.4	40	NaN	NaN	3630679.156440771	44666	43.23734643734644	2035	466429.29272996855	21425	24.87468418393128	1979
r_pp_light_00030.fits	0	60212.35574660916	2460212.355746609	NaN	NaN	0	1.143438	NaN	-10.4	40	NaN	NaN	3691338.744300982	45508	42.44942123804731	1987	464990.60149894556	18176	22.93607532210109	2018
r_pp_light_00031.fits	0	60212.35629313672	2460212.3562931367	NaN	NaN	0	1.14359	NaN	-10.4	40	NaN	NaN	4220882.483580596	39291	40.51218450826806	2298	461594.6496488204	12614	22.744244453746337	2389
r_pp_light_00033.fits	0	60212.357382535	2460212.357382535	NaN	NaN	0	1.143819	NaN	-10.3	40	NaN	NaN	4274638.322561036	41642	39.589087809036656	2346	463734.2348444622	13593	24.093736864228667	2379
r_pp_light_00034.fits	0	60212.35792647023	2460212.35792647	NaN	NaN	0	1.143972	NaN	-10.3	40	NaN	NaN	3940733.4204448285	39340	38.00210881484605	2371	466903.42350676283	15587	22.738252267106347	2426
r_pp_light_00035.fits	0	60212.358470636886	2460212.358470637	NaN	NaN	0	1.144131	NaN	-10.3	40	NaN	NaN	3933057.468909759	40239	42.9761075161772	2009	463330.95729688375	15175	22.493589743589745	2028
