Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	0	60212.339959004894	2460212.339959005	NaN	NaN	0	1.140293	NaN	-10.4	40	NaN	NaN	3987588.262036189	39220	26.075214341387372	2566
r_pp_light_00002.fits	0	60212.34050364606	2460212.340503646	NaN	NaN	0	1.140365	NaN	-10.4	40	NaN	NaN	4360278.607611356	39152	30.605548854041015	2487
r_pp_light_00003.fits	0	60212.34104847256	2460212.3410484726	NaN	NaN	0	1.140441	NaN	-10.4	40	NaN	NaN	5140033.904265365	37138	33.84512195121951	2460
r_pp_light_00004.fits	0	60212.34159358824	2460212.3415935882	NaN	NaN	0	1.140515	NaN	-10.3	40	NaN	NaN	4148859.916132451	40046	31.97242497972425	2466
r_pp_light_00005.fits	0	60212.34213702567	2460212.3421370257	NaN	NaN	0	1.140596	NaN	-10.4	40	NaN	NaN	3954077.772248584	44128	32.04012713547874	2517
r_pp_light_00006.fits	0	60212.34268170176	2460212.3426817018	NaN	NaN	0	1.140681	NaN	-10.4	40	NaN	NaN	3927592.6536291274	40207	30.55048076923077	2496
r_pp_light_00007.fits	0	60212.343225995544	2460212.3432259955	NaN	NaN	0	1.140761	NaN	-10.3	40	NaN	NaN	4029922.810597706	42246	32.412145748987854	2470
r_pp_light_00008.fits	0	60212.34377025487	2460212.343770255	NaN	NaN	0	1.140851	NaN	-10.4	40	NaN	NaN	3697556.1603540247	41086	31.317688130333593	2578
r_pp_light_00009.fits	0	60212.344313761685	2460212.3443137617	NaN	NaN	0	1.140942	NaN	-10.4	40	NaN	NaN	3929876.9106437787	41762	32.476133172884076	2493
r_pp_light_00010.fits	0	60212.34485905105	2460212.344859051	NaN	NaN	0	1.141035	NaN	-10.4	40	NaN	NaN	3936745.6074318164	40114	29.710607225211376	2602
r_pp_light_00011.fits	0	60212.34540467616	2460212.345404676	NaN	NaN	0	1.141129	NaN	-10.3	40	NaN	NaN	4087798.3346736785	42610	31.519983686786297	2452
r_pp_light_00012.fits	0	60212.3459489122	2460212.345948912	NaN	NaN	0	1.141227	NaN	-10.4	40	NaN	NaN	4102808.044256299	38314	31.52936507936508	2520
r_pp_light_00013.fits	0	60212.34649253497	2460212.346492535	NaN	NaN	0	1.141326	NaN	-10.4	40	NaN	NaN	4473495.620944075	39211	32.10876623376623	2464
r_pp_light_00014.fits	0	60212.34703674773	2460212.3470367477	NaN	NaN	0	1.141432	NaN	-10.4	40	NaN	NaN	4477985.046906716	40810	32.45375836284927	2541
r_pp_light_00015.fits	0	60212.347580173984	2460212.347580174	NaN	NaN	0	1.141539	NaN	-10.4	40	NaN	NaN	4476382.445110225	41565	33.9553950722175	2354
r_pp_light_00016.fits	0	60212.348124896176	2460212.348124896	NaN	NaN	0	1.141645	NaN	-10.4	40	NaN	NaN	3988691.277226552	40596	32.66706586826347	2505
r_pp_light_00017.fits	0	60212.34866828704	2460212.348668287	NaN	NaN	0	1.141757	NaN	-10.4	40	NaN	NaN	4061792.7150032856	41196	32.54572025052192	2395
r_pp_light_00018.fits	0	60212.34921289375	2460212.3492128938	NaN	NaN	0	1.141871	NaN	-10.4	40	NaN	NaN	4033614.526457992	38054	32.46844660194175	2472
r_pp_light_00019.fits	0	60212.3497569561	2460212.349756956	NaN	NaN	0	1.141985	NaN	-10.4	40	NaN	NaN	4335899.639891878	42424	33.486312399355874	2484
r_pp_light_00020.fits	0	60212.350301736034	2460212.350301736	NaN	NaN	0	1.142108	NaN	-10.4	40	NaN	NaN	4154933.7221454927	41961	31.978783026421137	2498
r_pp_light_00021.fits	0	60212.35084780119	2460212.350847801	NaN	NaN	0	1.142225	NaN	-10.4	40	NaN	NaN	4342828.19458868	41279	33.0120572720422	2654
r_pp_light_00022.fits	0	60212.35139128473	2460212.3513912847	NaN	NaN	0	1.142349	NaN	-10.4	40	NaN	NaN	4311954.228239254	39247	34.42296805499394	2473
r_pp_light_00023.fits	0	60212.351935937535	2460212.3519359375	NaN	NaN	0	1.142477	NaN	-10.4	40	NaN	NaN	4202407.262070996	41197	34.513110125050424	2479
r_pp_light_00024.fits	0	60212.35248019686	2460212.352480197	NaN	NaN	0	1.142604	NaN	-10.3	40	NaN	NaN	4167415.7735101962	44070	32.99680893498205	2507
r_pp_light_00025.fits	0	60212.35302502336	2460212.3530250234	NaN	NaN	0	1.142737	NaN	-10.4	40	NaN	NaN	4134647.5773328003	41544	34.567861457913814	2483
r_pp_light_00026.fits	0	60212.35356886592	2460212.353568866	NaN	NaN	0	1.142872	NaN	-10.4	40	NaN	NaN	3855562.842878494	40472	35.88968824940048	2502
r_pp_light_00027.fits	0	60212.3541134838	2460212.354113484	NaN	NaN	0	1.143011	NaN	-10.4	40	NaN	NaN	3923350.5696064755	41958	38.08467267738142	2551
r_pp_light_00028.fits	0	60212.354657859076	2460212.354657859	NaN	NaN	0	1.143151	NaN	-10.4	40	NaN	NaN	3938608.784493985	43394	36.873459326212	2434
r_pp_light_00029.fits	0	60212.35520269675	2460212.3552026968	NaN	NaN	0	1.143295	NaN	-10.4	40	NaN	NaN	3675881.0775309145	44666	36.093355075417854	2453
r_pp_light_00030.fits	0	60212.35574660916	2460212.355746609	NaN	NaN	0	1.143438	NaN	-10.4	40	NaN	NaN	3737051.3410785254	45508	34.917665867306155	2502
r_pp_light_00031.fits	0	60212.35629313672	2460212.3562931367	NaN	NaN	0	1.14359	NaN	-10.4	40	NaN	NaN	4246819.746247072	39291	37.42354800474121	2531
r_pp_light_00033.fits	0	60212.357382535	2460212.357382535	NaN	NaN	0	1.143819	NaN	-10.3	40	NaN	NaN	4299624.729378215	41642	36.84163424124514	2570
r_pp_light_00034.fits	0	60212.35792647023	2460212.35792647	NaN	NaN	0	1.143972	NaN	-10.3	40	NaN	NaN	3963801.5279213632	39340	34.96914556962025	2528
r_pp_light_00035.fits	0	60212.358470636886	2460212.358470637	NaN	NaN	0	1.144131	NaN	-10.3	40	NaN	NaN	3984964.1195676606	40239	35.0834008097166	2470
r_pp_light_00036.fits	0	60212.35901447944	2460212.3590144794	NaN	NaN	0	1.144292	NaN	-10.4	40	NaN	NaN	4217802.478144869	39374	37.316495659037095	2534
r_pp_light_00037.fits	0	60212.35955909733	2460212.3595590973	NaN	NaN	0	1.144453	NaN	-10.3	40	NaN	NaN	4293352.451344235	38115	35.39943457189015	2476
r_pp_light_00038.fits	0	60212.360103588086	2460212.360103588	NaN	NaN	0	1.14462	NaN	-10.4	40	NaN	NaN	4531455.773373963	40702	36.3124	2500
r_pp_light_00039.fits	0	60212.36064773146	2460212.3606477315	NaN	NaN	0	1.144789	NaN	-10.4	40	NaN	NaN	4723987.205706115	40154	36.96825396825397	2520
r_pp_light_00040.fits	0	60212.36119156284	2460212.361191563	NaN	NaN	0	1.144958	NaN	-10.3	40	NaN	NaN	4257642.796580562	38626	35.907148407148405	2574
r_pp_light_00041.fits	0	60212.361737303436	2460212.3617373034	NaN	NaN	0	1.14513	NaN	-10.4	40	NaN	NaN	4697835.5243542185	40740	35.44992113564669	2536
r_pp_light_00042.fits	0	60212.36228171317	2460212.362281713	NaN	NaN	0	1.145303	NaN	-10.3	40	NaN	NaN	4060007.914592105	42203	36.955546655987185	2497
r_pp_light_00043.fits	0	60212.362826030236	2460212.3628260302	NaN	NaN	0	1.145484	NaN	-10.4	40	NaN	NaN	4048001.1328122825	42123	33.51545595054096	2588
r_pp_light_00044.fits	0	60212.36336995382	2460212.363369954	NaN	NaN	0	1.145666	NaN	-10.4	40	NaN	NaN	3932785.11256877	38795	36.522061694650525	2561
r_pp_light_00045.fits	0	60212.36391400499	2460212.363914005	NaN	NaN	0	1.145851	NaN	-10.3	40	NaN	NaN	3862652.985805499	41137	35.148134187712024	2653
r_pp_light_00046.fits	0	60212.36445733812	2460212.364457338	NaN	NaN	0	1.146035	NaN	-10.3	40	NaN	NaN	3898975.878239045	40619	35.53359375	2560
r_pp_light_00047.fits	0	60212.36500256974	2460212.3650025697	NaN	NaN	0	1.146223	NaN	-10.3	40	NaN	NaN	3890219.3056137757	43115	35.73639521420301	2591
r_pp_light_00048.fits	0	60212.365548125	2460212.365548125	NaN	NaN	0	1.146417	NaN	-10.4	40	NaN	NaN	3765501.1878205175	39502	35.58709926612592	2589
r_pp_light_00049.fits	0	60212.36609211797	2460212.366092118	NaN	NaN	0	1.146609	NaN	-10.4	40	NaN	NaN	3892007.5003402634	44051	34.366679202707786	2659
r_pp_light_00050.fits	0	60212.366636354476	2460212.3666363545	NaN	NaN	0	1.146808	NaN	-10.4	40	NaN	NaN	4128896.086521117	40054	38.404161664665864	2499
r_pp_light_00051.fits	0	60212.36718328716	2460212.367183287	NaN	NaN	0	1.147006	NaN	-10.4	40	NaN	NaN	3998469.5790390302	42363	37.34233518665608	2518
