Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Source_SNR_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00001.fits	0	60224.419282650575	2460224.4192826506	NaN	NaN	0	1.210501	NaN	-10.4	40	NaN	NaN	3560437.004705099	1328.664804468675	39400	12.255543237250555	3608	349891.59977492545	176.20578224302852	10136	0	1404
r_pp_light_00002.fits	0	60224.41982708359	2460224.4198270836	NaN	NaN	0	1.211124	NaN	-10.4	40	NaN	NaN	3654786.198779317	1354.6872403422394	44216	14.797437950360289	3747	387974.49967224884	197.4141265314178	12623	3.03137039075399	1817
r_pp_light_00003.fits	0	60224.420371539425	2460224.4203715394	NaN	NaN	0	1.211731	NaN	-10.3	40	NaN	NaN	3874728.678314425	1413.5776190450385	40853	15.946632782719186	3935	412839.9531320926	215.31686385110882	11334	12.538132191597539	3737
r_pp_light_00004.fits	0	60224.42091452563	2460224.4209145256	NaN	NaN	0	1.212342	NaN	-10.3	40	NaN	NaN	3635010.0926455846	1350.7057354911096	41819	17.821172396735097	4043	415260.6154923749	216.47997791162004	15082	12.074422353573347	3722
r_pp_light_00005.fits	0	60224.4214584725	2460224.4214584725	NaN	NaN	0	1.212956	NaN	-10.4	40	NaN	NaN	3568114.025371581	1331.1238396337176	44973	13.210583446404343	3685	402684.9201584411	204.41471717192763	15048	3.414593698175788	1809
r_pp_light_00006.fits	0	60224.42200320633	2460224.4220032063	NaN	NaN	0	1.21356	NaN	-10.4	40	NaN	NaN	3599411.025090886	1340.431601670529	44230	16.826546391752576	3880	361428.545617823	189.44288904013004	11029	10.388297872340425	3384
r_pp_light_00007.fits	0	60224.422547546215	2460224.422547546	NaN	NaN	0	1.214181	NaN	-10.4	40	NaN	NaN	3300463.11483685	1258.9994855599923	45620	18.854441403334164	4019	384643.6448301488	201.75095847149754	17712	15.58521144593568	3949
r_pp_light_00008.fits	0	60224.42309356481	2460224.423093565	NaN	NaN	0	1.214806	NaN	-10.3	40	NaN	NaN	3339794.25858967	1270.0576417783136	41802	18.24262701363073	4035	376664.85535400093	197.27810447837044	13474	12.241881298992162	3572
r_pp_light_00009.fits	0	60224.4236375466	2460224.4236375466	NaN	NaN	0	1.215431	NaN	-10.4	40	NaN	NaN	3471679.573149634	1306.0168955451675	44734	17.428970775095298	3935	407088.7367340294	212.78622413682552	17552	13.960335621662853	3933
r_pp_light_00010.fits	0	60224.42418195633	2460224.4241819563	NaN	NaN	0	1.216058	NaN	-10.4	40	NaN	NaN	3410453.837503644	1289.7586681438197	43345	18.031742125984252	4064	425346.2475978541	221.7917358616265	19046	14.04918444165621	3985
