Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00001.fits	0	60224.419282650575	2460224.4192826506	NaN	NaN	0	1.210501	NaN	-10.4	40	NaN	NaN	3893880.1736492077	39400	23.63978494623656	2418	376371.70776795	10136	0	773
r_pp_light_00002.fits	0	60224.41982708359	2460224.4198270836	NaN	NaN	0	1.211124	NaN	-10.4	40	NaN	NaN	3971571.8456538897	44216	29.94289827255278	2084	411487.8421353255	12623	2.658454647256439	893
r_pp_light_00003.fits	0	60224.420371539425	2460224.4203715394	NaN	NaN	0	1.211731	NaN	-10.3	40	NaN	NaN	4227237.019035374	40853	26.645201495637725	2407	433251.1797938069	11334	13.749667700487372	2257
r_pp_light_00004.fits	0	60224.42091452563	2460224.4209145256	NaN	NaN	0	1.212342	NaN	-10.3	40	NaN	NaN	3936754.368651508	41819	32.83308494783905	2013	433567.32912907924	15082	12.912551440329219	1944
r_pp_light_00005.fits	0	60224.4214584725	2460224.4214584725	NaN	NaN	0	1.212956	NaN	-10.4	40	NaN	NaN	3865342.3129922957	44973	29.09095238095238	2100	420516.8056799986	15048	9.447494033412887	1676
r_pp_light_00006.fits	0	60224.42200320633	2460224.4220032063	NaN	NaN	0	1.21356	NaN	-10.4	40	NaN	NaN	3905659.139946867	44230	30.50356972870062	2101	379926.71698370733	11029	12.970477724100913	1863
r_pp_light_00007.fits	0	60224.422547546215	2460224.422547546	NaN	NaN	0	1.214181	NaN	-10.4	40	NaN	NaN	3519450.52324009	45620	37.544524669073404	1662	397715.35430000024	17712	16.686114352392064	1714
r_pp_light_00008.fits	0	60224.42309356481	2460224.423093565	NaN	NaN	0	1.214806	NaN	-10.3	40	NaN	NaN	3588558.015849093	41802	31.587976539589445	2046	393172.5740604999	13474	14.15653964984552	1942
r_pp_light_00009.fits	0	60224.4236375466	2460224.4236375466	NaN	NaN	0	1.215431	NaN	-10.4	40	NaN	NaN	3750670.437641985	44734	32.09849587578845	2061	424028.57511722646	17552	14.999492127983748	1969
r_pp_light_00010.fits	0	60224.42418195633	2460224.4241819563	NaN	NaN	0	1.216058	NaN	-10.4	40	NaN	NaN	3664815.8872725465	43345	31.63261296660118	2036	440411.25794856943	19046	14.422585590189065	1957
r_pp_light_00011.fits	0	60224.42472569458	2460224.4247256946	NaN	NaN	0	1.216688	NaN	-10.4	40	NaN	NaN	3770735.2661013566	42740	31.58619069985909	2129	440130.3296696233	18482	13.121132669113791	1907
r_pp_light_00012.fits	0	60224.42526964145	2460224.4252696414	NaN	NaN	0	1.217321	NaN	-10.4	40	NaN	NaN	3950729.3620746355	42299	33.20161290322581	2108	438229.8786311629	16544	13.597554492291334	1881
r_pp_light_00013.fits	0	60224.42581339134	2460224.4258133913	NaN	NaN	0	1.217955	NaN	-10.4	40	NaN	NaN	3658743.5610646973	47086	32.211330049261086	2030	439585.7908436989	20376	16.637346437346437	2035
r_pp_light_00014.fits	0	60224.4263572339	2460224.426357234	NaN	NaN	0	1.218594	NaN	-10.4	40	NaN	NaN	3681957.65592754	45020	32.94665324609965	1987	437418.49492346065	20017	13.009115281501341	1865
r_pp_light_00015.fits	0	60224.426901076455	2460224.4269010765	NaN	NaN	0	1.219235	NaN	-10.4	40	NaN	NaN	3566828.325723425	51950	36.981766381766384	1755	437785.91813231574	22116	14.064617314930992	1594
r_pp_light_00016.fits	0	60224.427444768604	2460224.4274447686	NaN	NaN	0	1.21988	NaN	-10.4	40	NaN	NaN	3673564.233555014	44649	34.57897310513447	2045	438671.04152876977	20999	16.7681592039801	2010
r_pp_light_00017.fits	0	60224.427990139	2460224.427990139	NaN	NaN	0	1.220527	NaN	-10.4	40	NaN	NaN	3966644.5572691364	42967	32.484029484029485	2035	438748.4025416697	15869	14.719562955254943	1922
r_pp_light_00018.fits	0	60224.428535474464	2460224.4285354745	NaN	NaN	0	1.221178	NaN	-10.4	40	NaN	NaN	3737713.2157467394	47635	32.30533199195171	1988	438968.6590368402	20165	15.471120040180814	1991
r_pp_light_00019.fits	0	60224.42907931749	2460224.4290793175	NaN	NaN	0	1.22183	NaN	-10.4	40	NaN	NaN	3893511.171442901	42539	35.09893822393823	2072	438487.29587504163	16384	10.357951161405598	1679
r_pp_light_00020.fits	0	60224.42962311348	2460224.4296231135	NaN	NaN	0	1.222484	NaN	-10.4	40	NaN	NaN	3773357.6870109444	46445	34.62869822485207	2028	440231.72612490423	17158	16.10562347188264	2045
r_pp_light_00021.fits	0	60224.43016731506	2460224.430167315	NaN	NaN	0	1.223142	NaN	-10.3	40	NaN	NaN	3902320.090536333	41465	34.950273495773246	2011	441528.62579039496	15892	14.951801116184678	1971
r_pp_light_00022.fits	0	60224.430711122695	2460224.4307111227	NaN	NaN	0	1.2238	NaN	-10.3	40	NaN	NaN	3790476.1888183705	41325	35.966733870967744	1984	441747.7770881269	17759	17.988725490196078	2040
r_pp_light_00023.fits	0	60224.43125550961	2460224.4312555096	NaN	NaN	0	1.224463	NaN	-10.4	40	NaN	NaN	3918908.1771253743	46301	33.87149187592319	2031	439877.3254467453	16913	16.013759213759215	2035
r_pp_light_00024.fits	0	60224.431800161954	2460224.431800162	NaN	NaN	0	1.225129	NaN	-10.4	40	NaN	NaN	3732607.4950544275	45351	36.05609284332689	2068	442824.4806346476	18270	17.869652742828386	1987
r_pp_light_00025.fits	0	60224.43234400498	2460224.432344005	NaN	NaN	0	1.225781	NaN	-10.3	40	NaN	NaN	3869407.182744473	40482	34.500720807304184	2081	439722.6248983801	15799	16.388944723618092	1990
r_pp_light_00026.fits	0	60224.432888206095	2460224.432888206	NaN	NaN	0	1.226453	NaN	-10.4	40	NaN	NaN	3874462.996174806	44956	36.04295704295704	2002	440307.18214308977	17335	16.52465483234714	2028
r_pp_light_00027.fits	0	60224.43343200255	2460224.4334320026	NaN	NaN	0	1.227126	NaN	-10.4	40	NaN	NaN	3714968.253545698	47196	35.88619119878604	1977	438948.3579787297	17555	18.818091451292247	2012
r_pp_light_00028.fits	0	60224.433977708686	2460224.4339777087	NaN	NaN	0	1.227802	NaN	-10.4	40	NaN	NaN	3650197.1869430966	43559	34.877176015473886	2068	438792.5507529808	19804	15.928891098955743	2011
r_pp_light_00029.fits	0	60224.434521551244	2460224.4345215512	NaN	NaN	0	1.228482	NaN	-10.4	40	NaN	NaN	4059014.764729237	42649	31.36848635235732	2418	443762.33798540494	14913	15.876998223801065	2252
r_pp_light_00030.fits	0	60224.435066782404	2460224.4350667824	NaN	NaN	0	1.229164	NaN	-10.3	40	NaN	NaN	3597315.5467370725	45165	33.61320293398533	2045	440123.2879707116	20565	16.134218289085545	2034
r_pp_light_00031.fits	0	60224.43561159726	2460224.4356115973	NaN	NaN	0	1.229848	NaN	-10.3	40	NaN	NaN	4173136.979880361	39053	33.09242994562944	2391	438697.9087610435	14789	17.950909860347018	2363
r_pp_light_00032.fits	0	60224.43615525495	2460224.436155255	NaN	NaN	0	1.230535	NaN	-10.4	40	NaN	NaN	3742428.7440496515	46659	37.84743202416919	1986	438963.3163456622	17916	17.08223350253807	1970
