Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	0	60224.419282650575	2460224.4192826506	NaN	NaN	0	1.210501	NaN	-10.4	40	NaN	NaN	3897033.8790961327	39418	23.86683107274969	2433
r_pp_light_00002.fits	0	60224.41982708359	2460224.4198270836	NaN	NaN	0	1.211124	NaN	-10.4	40	NaN	NaN	4002691.2479895777	44845	25.835526315789473	2432
r_pp_light_00003.fits	0	60224.420371539425	2460224.4203715394	NaN	NaN	0	1.211731	NaN	-10.3	40	NaN	NaN	4229958.777126561	41087	26.614071606994173	2402
r_pp_light_00004.fits	0	60224.42091452563	2460224.4209145256	NaN	NaN	0	1.212342	NaN	-10.3	40	NaN	NaN	3966965.5491838665	41841	29.01709045435598	2399
r_pp_light_00005.fits	0	60224.4214584725	2460224.4214584725	NaN	NaN	0	1.212956	NaN	-10.4	40	NaN	NaN	3893971.9238424855	45109	24.396911519198664	2396
r_pp_light_00006.fits	0	60224.42200320633	2460224.4220032063	NaN	NaN	0	1.21356	NaN	-10.4	40	NaN	NaN	3936696.79276472	44119	26.059186189889026	2433
r_pp_light_00007.fits	0	60224.422547546215	2460224.422547546	NaN	NaN	0	1.214181	NaN	-10.4	40	NaN	NaN	3573489.2599546835	45869	28.62603993344426	2404
r_pp_light_00008.fits	0	60224.42309356481	2460224.423093565	NaN	NaN	0	1.214806	NaN	-10.3	40	NaN	NaN	3609126.4712158167	41329	27.311777301927194	2335
r_pp_light_00009.fits	0	60224.4236375466	2460224.4236375466	NaN	NaN	0	1.215431	NaN	-10.4	40	NaN	NaN	3778650.2985117314	44803	27.95475300954753	2409
r_pp_light_00010.fits	0	60224.42418195633	2460224.4241819563	NaN	NaN	0	1.216058	NaN	-10.4	40	NaN	NaN	3685185.2943419726	43664	27.317812900469885	2341
r_pp_light_00011.fits	0	60224.42472569458	2460224.4247256946	NaN	NaN	0	1.216688	NaN	-10.4	40	NaN	NaN	3799857.6737845642	42862	27.282538399353275	2474
