Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	55736	60179.574380822014	2460179.574380822	NaN	NaN	0	1.172084	NaN	-10.3	40	NaN	NaN	5833385.269108163	1798.4893107074247	55736	32.14698022447889	3742
r_pp_light_00002.fits	55179	60179.574926180765	2460179.5749261808	NaN	NaN	0	1.170476	NaN	-10.2	40	NaN	NaN	5818777.142237672	1793.3327773820113	55179	30.49423631123919	3470
r_pp_light_00003.fits	58180	60179.57547190972	2460179.5754719097	NaN	NaN	0	1.168876	NaN	-10.3	40	NaN	NaN	5753384.219903465	1779.8537289799638	58180	33.06798307475317	3545
r_pp_light_00004.fits	56481	60179.57601804426	2460179.5760180443	NaN	NaN	0	1.167285	NaN	-10.2	40	NaN	NaN	6284462.64162577	1892.5817868645772	56481	32.480336316788716	3687
r_pp_light_00005.fits	0	60179.5765642249	2460179.576564225	NaN	NaN	0	1.165703	NaN	-10.3	40	NaN	NaN	7125341.181074649	2059.285803752121	54469	32.446413502109706	3555
r_pp_light_00006.fits	58149	60179.57711034734	2460179.5771103473	NaN	NaN	0	1.164131	NaN	-10.3	40	NaN	NaN	7882954.584770289	2199.3671249577196	58149	34.43403205918619	3244
r_pp_light_00007.fits	57462	60179.57765557896	2460179.577655579	NaN	NaN	0	1.162571	NaN	-10.3	40	NaN	NaN	6639062.206342488	1963.6202181410345	57462	31.5238898257448	3558
r_pp_light_00008.fits	56609	60179.57820281247	2460179.5782028125	NaN	NaN	0	1.161015	NaN	-10.2	40	NaN	NaN	5902743.083385621	1811.964324282105	56609	32.85170677112479	3574
r_pp_light_00009.fits	57346	60179.57874943316	2460179.578749433	NaN	NaN	0	1.15947	NaN	-10.3	40	NaN	NaN	5621581.13306746	1751.7012079258413	57346	33.55633017289459	3586
r_pp_light_00010.fits	58128	60179.57929548621	2460179.579295486	NaN	NaN	0	1.157936	NaN	-10.2	40	NaN	NaN	6633490.0454349	1962.539480270766	58128	31.884399551066217	3564
r_pp_light_00011.fits	56094	60179.57984163193	2460179.579841632	NaN	NaN	0	1.156411	NaN	-10.3	40	NaN	NaN	5876369.098817481	1805.8602073689551	56094	32.928225576758756	3511
r_pp_light_00012.fits	0	60179.580387708265	2460179.5803877083	NaN	NaN	0	1.154895	NaN	-10.3	40	NaN	NaN	6127775.27725443	1859.286000547569	50427	32.021270640918	3573
r_pp_light_00013.fits	56539	60179.580934988335	2460179.5809349883	NaN	NaN	0	1.153386	NaN	-10.3	40	NaN	NaN	6086541.370323718	1850.3797450746201	56539	31.806451612903224	3534
r_pp_light_00014.fits	55230	60179.58148118062	2460179.5814811806	NaN	NaN	0	1.151889	NaN	-10.3	40	NaN	NaN	5961880.533562978	1825.8689281300192	55230	32.47752061718542	3759
r_pp_light_00015.fits	0	60179.58202729188	2460179.582027292	NaN	NaN	0	1.150401	NaN	-10.3	40	NaN	NaN	6010503.760375823	1835.5124741696707	54518	32.00217746325531	3674
r_pp_light_00016.fits	56005	60179.58257349534	2460179.5825734953	NaN	NaN	0	1.148922	NaN	-10.3	40	NaN	NaN	5412384.564526738	1706.7443975772508	56005	29.866250678241997	3686
r_pp_light_00017.fits	55581	60179.58311966434	2460179.5831196643	NaN	NaN	0	1.147453	NaN	-10.2	40	NaN	NaN	5652977.081268432	1757.8849286053546	55581	33.00399429386591	3505
r_pp_light_00018.fits	55312	60179.58366687503	2460179.583666875	NaN	NaN	0	1.145989	NaN	-10.3	40	NaN	NaN	5760403.96816142	1781.4314844461967	55312	33.81051447849311	3557
r_pp_light_00019.fits	55481	60179.58421303239	2460179.5842130324	NaN	NaN	0	1.144538	NaN	-10.3	40	NaN	NaN	5254862.960667581	1670.2681120440072	55481	31.280296549757626	3507
r_pp_light_00020.fits	0	60179.58475920139	2460179.5847592014	NaN	NaN	0	1.143095	NaN	-10.3	40	NaN	NaN	6208508.210169056	1876.082207787814	54298	30.587790534864183	3571
