Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	0	60179.596265868284	2460179.5962658683	NaN	NaN	0	1.114737	NaN	-10.2	40	NaN	NaN	7194806.306719917	1995.1867972282148	54848	53.05276742185259	3487
r_pp_light_00002.fits	0	60179.59681290528	2460179.5968129053	NaN	NaN	0	1.113482	NaN	-10.2	40	NaN	NaN	8225522.085730728	2186.9263233933975	53846	52.453013424735786	3501
r_pp_light_00003.fits	55411	60179.597359004896	2460179.597359005	NaN	NaN	0	1.112238	NaN	-10.3	40	NaN	NaN	6766688.080928564	1912.5599689201092	55411	51.6017425519955	3558
r_pp_light_00004.fits	55641	60179.59790621558	2460179.5979062156	NaN	NaN	0	1.111	NaN	-10.3	40	NaN	NaN	7553895.838795231	2064.0312803287816	55641	51.963913166055825	3547
r_pp_light_00005.fits	55106	60179.59845233802	2460179.598452338	NaN	NaN	0	1.109772	NaN	-10.3	40	NaN	NaN	7604242.261919842	2072.0689224554003	55106	54.09953298307064	3426
r_pp_light_00006.fits	0	60179.59899849538	2460179.5989984954	NaN	NaN	0	1.108552	NaN	-10.2	40	NaN	NaN	7260671.874727759	2007.603647427338	54328	53.03258362168397	3468
r_pp_light_00007.fits	56644	60179.59954553237	2460179.5995455324	NaN	NaN	0	1.107338	NaN	-10.2	40	NaN	NaN	6908348.564371027	1939.725297861215	56644	51.10748065348238	3489
r_pp_light_00008.fits	0	60179.60009174794	2460179.600091748	NaN	NaN	0	1.106135	NaN	-10.2	40	NaN	NaN	6892381.389282029	1936.7189119796349	54205	52.49500713266762	3505
r_pp_light_00009.fits	0	60179.60063881939	2460179.6006388194	NaN	NaN	0	1.104937	NaN	-10.2	40	NaN	NaN	6777638.797671222	1913.7481993038075	54893	51.56433929601847	3466
r_pp_light_00010.fits	56416	60179.60118493065	2460179.6011849307	NaN	NaN	0	1.10375	NaN	-10.2	40	NaN	NaN	7147687.274848279	1986.557872651036	56416	54.328425821064556	3532
r_pp_light_00011.fits	55691	60179.601730995346	2460179.6017309953	NaN	NaN	0	1.10257	NaN	-10.2	40	NaN	NaN	6975223.256188681	1952.7699906196756	55691	54.396512292738706	3498
r_pp_light_00012.fits	55551	60179.60227724537	2460179.6022772454	NaN	NaN	0	1.101399	NaN	-10.2	40	NaN	NaN	8323806.264260174	2203.978901736318	55551	53.153623188405795	3450
r_pp_light_00013.fits	0	60179.602823368274	2460179.6028233683	NaN	NaN	0	1.100235	NaN	-10.2	40	NaN	NaN	7457899.181149187	2046.2713830913824	52022	54.113560267857146	3584
r_pp_light_00014.fits	55290	60179.60336965276	2460179.6033696528	NaN	NaN	0	1.099079	NaN	-10.3	40	NaN	NaN	7936224.707803604	2134.3363278487086	55290	53.878	3500
r_pp_light_00015.fits	55350	60179.60391575238	2460179.6039157524	NaN	NaN	0	1.097931	NaN	-10.3	40	NaN	NaN	7767270.650152914	2103.0700808445035	55350	53.98078026391279	3486
r_pp_light_00016.fits	0	60179.60446336819	2460179.604463368	NaN	NaN	0	1.096788	NaN	-10.3	40	NaN	NaN	6751051.260838973	1909.1945155010949	54913	52.78223981900452	3536
r_pp_light_00017.fits	56845	60179.605009572115	2460179.605009572	NaN	NaN	0	1.095656	NaN	-10.3	40	NaN	NaN	6687965.479833105	1896.2909780582766	56845	51.447210300429184	3495
r_pp_light_00018.fits	57492	60179.605555763934	2460179.605555764	NaN	NaN	0	1.094531	NaN	-10.3	40	NaN	NaN	6910363.445161623	1940.6309930889329	57492	54.02368198477587	3547
r_pp_light_00019.fits	56009	60179.60610022023	2460179.6061002202	NaN	NaN	0	1.093418	NaN	-10.3	40	NaN	NaN	6927570.79942219	1943.6427460780117	56009	54.82963594994312	3516
r_pp_light_00020.fits	55465	60179.606645254884	2460179.606645255	NaN	NaN	0	1.092311	NaN	-10.3	40	NaN	NaN	6743643.055841789	1907.12152416728	55465	55.471616972477065	3488
