Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	58600	60179.585322176106	2460179.585322176	NaN	NaN	0	1.141618	NaN	-10.2	40	NaN	NaN	6444040.1512133535	1922.5742565450134	58600	51.07201166180758	3430
r_pp_light_00002.fits	57725	60179.58586829854	2460179.5858682985	NaN	NaN	0	1.140194	NaN	-10.3	40	NaN	NaN	6432230.692418695	1920.699546836813	57725	52.610745927407834	3499
r_pp_light_00003.fits	58043	60179.58641483821	2460179.586414838	NaN	NaN	0	1.138777	NaN	-10.2	40	NaN	NaN	6242817.61582305	1881.1147243462863	58043	52.91317101789381	3409
r_pp_light_00004.fits	56919	60179.58696089126	2460179.5869608913	NaN	NaN	0	1.137371	NaN	-10.3	40	NaN	NaN	6854046.91717694	2004.9716831532558	56919	54.11957459039954	3479
r_pp_light_00005.fits	0	60179.58750710683	2460179.587507107	NaN	NaN	0	1.135973	NaN	-10.2	40	NaN	NaN	7091358.369208257	2051.5141837147175	53419	51.45480631276901	3485
r_pp_light_00006.fits	56556	60179.588054201566	2460179.5880542016	NaN	NaN	0	1.134582	NaN	-10.3	40	NaN	NaN	6659197.2642629575	1966.3859245972535	56556	52.41107286288009	3486
r_pp_light_00007.fits	57863	60179.58860135451	2460179.5886013545	NaN	NaN	0	1.1332	NaN	-10.3	40	NaN	NaN	7080283.991030958	2049.215565505361	57863	49.92689973995955	3461
r_pp_light_00008.fits	57034	60179.58914752351	2460179.5891475235	NaN	NaN	0	1.131828	NaN	-10.3	40	NaN	NaN	6830922.331014965	2001.3172121372781	57034	49.56731038343129	3573
r_pp_light_00009.fits	56102	60179.58969364595	2460179.589693646	NaN	NaN	0	1.130466	NaN	-10.3	40	NaN	NaN	6092874.95878651	1850.6206745371119	56102	46.47658959537572	3460
r_pp_light_00010.fits	58084	60179.59023984987	2460179.59023985	NaN	NaN	0	1.129112	NaN	-10.3	40	NaN	NaN	6542694.962660351	1943.3665293555769	58084	49.611868256672345	3522
r_pp_light_00011.fits	57565	60179.59078600723	2460179.5907860072	NaN	NaN	0	1.127766	NaN	-10.3	40	NaN	NaN	6985686.054857169	2031.4750471403909	57565	50.00761851015801	3544
r_pp_light_00012.fits	0	60179.59133320628	2460179.5913332063	NaN	NaN	0	1.126427	NaN	-10.2	40	NaN	NaN	7596947.027160537	2147.473160565787	53329	50.66841339155749	3435
r_pp_light_00013.fits	0	60179.59187937528	2460179.5918793753	NaN	NaN	0	1.125099	NaN	-10.3	40	NaN	NaN	8461959.272580314	2305.0986148152706	53070	52.409593023255816	3440
r_pp_light_00014.fits	0	60179.59242543997	2460179.59242544	NaN	NaN	0	1.123779	NaN	-10.3	40	NaN	NaN	8716162.09459282	2350.6471828560466	47418	53.368539960463146	3541
r_pp_light_00015.fits	55874	60179.592971504666	2460179.5929715047	NaN	NaN	0	1.122468	NaN	-10.2	40	NaN	NaN	8827960.266201006	2369.8835531422283	55874	54.05860597439545	3515
r_pp_light_00016.fits	57974	60179.593517662026	2460179.593517662	NaN	NaN	0	1.121165	NaN	-10.3	40	NaN	NaN	7827765.723051198	2190.8463739471667	57974	51.5828800458059	3493
r_pp_light_00017.fits	56521	60179.59406364616	2460179.594063646	NaN	NaN	0	1.119871	NaN	-10.2	40	NaN	NaN	6935095.7043697825	2021.0644269109232	56521	51.38657872096358	3487
r_pp_light_00018.fits	56905	60179.59461001167	2460179.5946100117	NaN	NaN	0	1.118585	NaN	-10.3	40	NaN	NaN	8431725.47036385	2300.2887099152904	56905	51.13906339234723	3502
r_pp_light_00019.fits	56435	60179.59515702538	2460179.5951570254	NaN	NaN	0	1.117305	NaN	-10.3	40	NaN	NaN	7419820.712690866	2114.259579141593	56435	52.81374530753682	3463
r_pp_light_00020.fits	57288	60179.5957030789	2460179.595703079	NaN	NaN	0	1.116036	NaN	-10.2	40	NaN	NaN	7086007.082700786	2050.2559974019637	57288	51.55362821624747	3459
