Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fit	59634	60180.34741442138	2460180.3474144214	NaN	NaN	0	1.098352	NaN	-10.2	15	NaN	NaN	16680124.836458452	3147.745435773748	59634	33.90643505724437	5066
r_pp_light_00002.fit	60700	60180.34766991902	2460180.347669919	NaN	NaN	0	1.098016	NaN	-10.2	15	NaN	NaN	16149592.30773015	3074.6836733919945	60700	35.06645299145299	4680
r_pp_light_00003.fit	59935	60180.34792650491	2460180.347926505	NaN	NaN	0	1.097679	NaN	-10.2	15	NaN	NaN	15904302.5753382	3045.089665588787	59935	37.564208782104394	4828
r_pp_light_00004.fit	60007	60180.34818196762	2460180.3481819676	NaN	NaN	0	1.097345	NaN	-10.2	15	NaN	NaN	15569604.07108264	3001.6482705145686	60007	36.193748706272	4831
r_pp_light_00005.fit	61601	60180.34843758121	2460180.348437581	NaN	NaN	0	1.097012	NaN	-10.2	15	NaN	NaN	14780517.827255547	2897.994881513702	61601	35.92601675863479	4893
r_pp_light_00006.fit	60226	60180.34869336849	2460180.3486933685	NaN	NaN	0	1.096679	NaN	-10.3	15	NaN	NaN	15607738.055347092	3006.858109923802	60226	35.93829962855963	4846
r_pp_light_00007.fit	60256	60180.348949109204	2460180.348949109	NaN	NaN	0	1.096348	NaN	-10.2	15	NaN	NaN	15971576.224379897	3053.5000073016295	60256	35.36833333333333	4800
r_pp_light_00008.fit	60405	60180.34920526622	2460180.349205266	NaN	NaN	0	1.096017	NaN	-10.3	15	NaN	NaN	16163161.92427561	3077.0517590634545	60405	35.700254022015244	4724
r_pp_light_00009.fit	60227	60180.34946196759	2460180.3494619676	NaN	NaN	0	1.095686	NaN	-10.2	15	NaN	NaN	15575715.46974722	3001.838252826339	60227	36.38734600125287	4789
r_pp_light_00010.fit	60370	60180.34971775487	2460180.349717755	NaN	NaN	0	1.095358	NaN	-10.2	15	NaN	NaN	17016499.796755437	3185.565426246766	60370	34.80286738351254	4743
r_pp_light_00011.fit	60594	60180.349973993376	2460180.3499739934	NaN	NaN	0	1.09503	NaN	-10.2	15	NaN	NaN	15414389.687358873	2981.0838712085624	60594	35.87393561786085	4815
r_pp_light_00012.fit	59701	60180.350229548756	2460180.3502295488	NaN	NaN	0	1.094704	NaN	-10.2	15	NaN	NaN	16230821.731796002	3086.295755422614	59701	35.289855072463766	4761
r_pp_light_00013.fit	58629	60180.350485058036	2460180.350485058	NaN	NaN	0	1.094379	NaN	-10.2	15	NaN	NaN	15749656.54847758	3026.7701138627826	58629	34.78155339805825	4944
r_pp_light_00014.fit	58749	60180.35074118059	2460180.3507411806	NaN	NaN	0	1.094054	NaN	-10.2	15	NaN	NaN	15391013.460456064	2977.987355685227	58749	36.605897009966775	4816
r_pp_light_00015.fit	58892	60180.35099734971	2460180.3509973497	NaN	NaN	0	1.09373	NaN	-10.2	15	NaN	NaN	15842356.621478066	3035.1692423673503	58892	38.17617021276596	4700
r_pp_light_00016.fit	59129	60180.35125350719	2460180.351253507	NaN	NaN	0	1.093407	NaN	-10.3	15	NaN	NaN	15306580.087144407	2969.880726701324	59129	37.319047619047616	5040
r_pp_light_00017.fit	58131	60180.351509710774	2460180.351509711	NaN	NaN	0	1.093085	NaN	-10.2	15	NaN	NaN	17090408.98603492	3196.136786560765	58131	37.56965944272446	4845
