Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fit	60175	60180.37301935209	2460180.373019352	NaN	NaN	0	1.069596	NaN	-10.2	15	NaN	NaN	16339000.371849123	3024.110939226806	60175	41.934791097227645	5122
r_pp_light_00002.fit	61303	60180.37327533588	2460180.373275336	NaN	NaN	0	1.069358	NaN	-10.2	15	NaN	NaN	15985718.943815611	2975.483672768953	61303	43.096866096866094	4914
r_pp_light_00003.fit	60402	60180.37353069475	2460180.3735306947	NaN	NaN	0	1.069121	NaN	-10.2	15	NaN	NaN	15431364.144613374	2901.6705995759066	60402	41.02228702353676	4801
r_pp_light_00004.fit	61379	60180.373786713	2460180.373786713	NaN	NaN	0	1.068885	NaN	-10.2	15	NaN	NaN	16976072.351793047	3103.8813052077044	61379	39.74876652851786	5067
r_pp_light_00005.fit	59862	60180.374042534735	2460180.3740425347	NaN	NaN	0	1.068649	NaN	-10.3	15	NaN	NaN	15847206.398143742	2955.5947041237882	59862	42.94055068836045	4794
r_pp_light_00006.fit	62526	60180.37429842632	2460180.3742984263	NaN	NaN	0	1.068415	NaN	-10.3	15	NaN	NaN	15720854.11986802	2938.7566766348054	62526	41.50766323745538	4763
r_pp_light_00007.fit	60995	60180.3745542597	2460180.3745542597	NaN	NaN	0	1.068182	NaN	-10.2	15	NaN	NaN	16969209.02071567	3098.5712948341557	60995	39.847340980187695	4795
r_pp_light_00008.fit	60117	60180.37480961811	2460180.374809618	NaN	NaN	0	1.067949	NaN	-10.2	15	NaN	NaN	16548199.300064187	3046.750325811729	60117	40.974743326488706	4870
r_pp_light_00009.fit	60222	60180.37506559072	2460180.3750655907	NaN	NaN	0	1.067718	NaN	-10.2	15	NaN	NaN	19119498.351461254	3360.1320010255517	60222	41.52130534192476	4811
r_pp_light_00010.fit	61705	60180.37532091467	2460180.3753209147	NaN	NaN	0	1.067488	NaN	-10.3	15	NaN	NaN	16231954.194505844	3004.7992699281613	61705	41.95643066610808	4774
r_pp_light_00011.fit	61063	60180.37557616923	2460180.375576169	NaN	NaN	0	1.067259	NaN	-10.2	15	NaN	NaN	15649623.11867983	2930.861197587281	61063	40.88659367899194	4841
r_pp_light_00012.fit	61119	60180.37583165523	2460180.375831655	NaN	NaN	0	1.06703	NaN	-10.2	15	NaN	NaN	15689526.436644185	2935.5617031151955	61119	41.834683281412254	4815
r_pp_light_00013.fit	59577	60180.376086968	2460180.376086968	NaN	NaN	0	1.066803	NaN	-10.3	15	NaN	NaN	16088602.288118668	2984.5006080588496	59577	41.831725616291536	4665
