Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fit	61860	60180.360217951704	2460180.3602179517	NaN	NaN	0	1.082741	NaN	-10.2	15	NaN	NaN	16410527.421538923	3107.409824933163	61860	51.82779198635976	4692
r_pp_light_00002.fit	60573	60180.36047326401	2460180.360473264	NaN	NaN	0	1.082456	NaN	-10.3	15	NaN	NaN	16427799.231069569	3109.084656685607	60573	52.066766852726495	4658
r_pp_light_00003.fit	62350	60180.3607285996	2460180.3607285996	NaN	NaN	0	1.082171	NaN	-10.3	15	NaN	NaN	16176571.313104488	3079.7689156840565	62350	50.94572843582336	4846
r_pp_light_00004.fit	61813	60180.36098472262	2460180.3609847226	NaN	NaN	0	1.081886	NaN	-10.3	15	NaN	NaN	15463748.963810597	2984.536703255433	61813	52.02744425385935	4664
r_pp_light_00005.fit	61297	60180.36124068312	2460180.361240683	NaN	NaN	0	1.081602	NaN	-10.2	15	NaN	NaN	16021671.785826705	3059.1997929360778	61297	52.04349635796046	4805
r_pp_light_00006.fit	60212	60180.36149660917	2460180.361496609	NaN	NaN	0	1.081319	NaN	-10.2	15	NaN	NaN	16352433.594061911	3101.465877759872	60212	51.90087646076795	4792
r_pp_light_00007.fit	60627	60180.36175253475	2460180.3617525348	NaN	NaN	0	1.081037	NaN	-10.2	15	NaN	NaN	16186020.996876566	3078.338287544772	60627	52.07581923324052	4669
r_pp_light_00008.fit	60680	60180.36200777814	2460180.362007778	NaN	NaN	0	1.080758	NaN	-10.2	15	NaN	NaN	15339860.453068284	2970.0053765831876	60680	52.032615513276184	4783
r_pp_light_00009.fit	59832	60180.36226386577	2460180.362263866	NaN	NaN	0	1.080477	NaN	-10.2	15	NaN	NaN	15887573.568306955	3039.754142256352	59832	52.44542140253056	4663
r_pp_light_00010.fit	59329	60180.36251989612	2460180.362519896	NaN	NaN	0	1.080199	NaN	-10.2	15	NaN	NaN	16104125.934766889	3068.3615539824154	59329	52.579562353940936	4707
r_pp_light_00011.fit	58825	60180.36277516233	2460180.3627751623	NaN	NaN	0	1.079922	NaN	-10.2	15	NaN	NaN	16049920.88813869	3062.4333951656686	58825	51.56314136125654	4775
