Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	57883	60180.5105260876	2460180.5105260876	NaN	NaN	0	1.004865	NaN	-10.3	20	NaN	NaN	19317429.686219573	3304.2051029166732	57883	28.631040705835172	4987
r_pp_light_00002.fits	59415	60180.539530902635	2460180.5395309026	NaN	NaN	0	1.021928	NaN	-10.2	20	NaN	NaN	12950193.140913656	2482.3637549707623	59415	35.45145631067961	4738
r_pp_light_00003.fits	59700	60180.53984498838	2460180.5398449884	NaN	NaN	0	1.022196	NaN	-10.3	20	NaN	NaN	12844480.729712117	2473.786402671763	59700	34.64159117762899	5078
r_pp_light_00004.fits	59361	60180.54015938658	2460180.5401593866	NaN	NaN	0	1.022466	NaN	-10.3	20	NaN	NaN	13265098.199696915	2526.8644959438507	59361	38.88266162888329	4764
r_pp_light_00005.fits	58911	60180.54047384253	2460180.5404738425	NaN	NaN	0	1.022739	NaN	-10.3	20	NaN	NaN	12236650.377996735	2380.4952313925605	58911	36.952541657878086	4741
r_pp_light_00006.fits	58825	60180.540787986014	2460180.540787986	NaN	NaN	0	1.023012	NaN	-10.3	20	NaN	NaN	13310556.677935313	2536.1045922260923	58825	35.41997961264016	4905
r_pp_light_00007.fits	58544	60180.54110181704	2460180.541101817	NaN	NaN	0	1.023288	NaN	-10.3	20	NaN	NaN	12544393.04806525	2426.7791508245355	58544	37.815876288659794	4850
r_pp_light_00008.fits	58806	60180.54141554376	2460180.5414155438	NaN	NaN	0	1.023565	NaN	-10.2	20	NaN	NaN	14301321.566182418	2670.3155195359504	58806	38.53543307086614	4826
r_pp_light_00009.fits	59543	60180.54173092591	2460180.541730926	NaN	NaN	0	1.023845	NaN	-10.2	20	NaN	NaN	11696171.431248546	2302.6245148115804	59543	38.57297748123436	4796
r_pp_light_00010.fits	60275	60180.54204469873	2460180.5420446987	NaN	NaN	0	1.024126	NaN	-10.2	20	NaN	NaN	12219281.199400289	2380.01120060561	60275	37.42017326732673	4848
r_pp_light_00011.fits	58737	60180.54235916631	2460180.5423591663	NaN	NaN	0	1.02441	NaN	-10.3	20	NaN	NaN	11883974.228418086	2330.2848288734554	58737	35.80888796161068	4793
r_pp_light_00012.fits	58681	60180.54267306719	2460180.542673067	NaN	NaN	0	1.024694	NaN	-10.3	20	NaN	NaN	11669281.661247598	2296.961169270115	58681	36.438962143768606	4702
r_pp_light_00013.fits	59861	60180.54298747657	2460180.5429874766	NaN	NaN	0	1.024981	NaN	-10.3	20	NaN	NaN	13035238.58581423	2495.486430944564	59861	36.02688620258441	4798
r_pp_light_00014.fits	58898	60180.543302094564	2460180.5433020946	NaN	NaN	0	1.02527	NaN	-10.3	20	NaN	NaN	11997601.95735825	2348.2831305704713	58898	37.277709359605915	4872
r_pp_light_00015.fits	58488	60180.54361668974	2460180.5436166897	NaN	NaN	0	1.025561	NaN	-10.3	20	NaN	NaN	11912416.35126178	2334.3697663711732	58488	37.19048612559983	4793
r_pp_light_00016.fits	59872	60180.54393059015	2460180.54393059	NaN	NaN	0	1.025853	NaN	-10.2	20	NaN	NaN	12709947.140611755	2451.8952055427594	59872	35.79898477157361	4925
r_pp_light_00017.fits	59846	60180.54424590245	2460180.5442459024	NaN	NaN	0	1.026149	NaN	-10.2	20	NaN	NaN	12284180.059120802	2387.68816677387	59846	35.173153797601515	4753
r_pp_light_00018.fits	58901	60180.5445597684	2460180.5445597684	NaN	NaN	0	1.026444	NaN	-10.3	20	NaN	NaN	11662544.803579964	2295.2726712984304	58901	35.36106346483705	4664
r_pp_light_00019.fits	58762	60180.54487414332	2460180.5448741433	NaN	NaN	0	1.026742	NaN	-10.3	20	NaN	NaN	11206736.17816726	2226.931708094195	58762	35.62912621359223	4635
r_pp_light_00020.fits	58987	60180.545187939424	2460180.5451879394	NaN	NaN	0	1.027042	NaN	-10.3	20	NaN	NaN	12611343.58150817	2437.84369328948	58987	35.884873096446704	4925
r_pp_light_00021.fits	60698	60180.54550196743	2460180.5455019674	NaN	NaN	0	1.027343	NaN	-10.3	20	NaN	NaN	12762711.631394401	2461.0404085052605	60698	34.45291300877893	5012
r_pp_light_00022.fits	58977	60180.545816608705	2460180.5458166087	NaN	NaN	0	1.027647	NaN	-10.3	20	NaN	NaN	13654769.255658112	2583.091415187568	58977	36.15198192647361	4869
r_pp_light_00023.fits	59519	60180.546131145675	2460180.5461311457	NaN	NaN	0	1.027953	NaN	-10.2	20	NaN	NaN	12610416.813439384	2433.9363519264252	59519	36.574540071896806	4729
r_pp_light_00024.fits	59164	60180.546445520595	2460180.5464455206	NaN	NaN	0	1.028261	NaN	-10.3	20	NaN	NaN	12474373.113540564	2419.8893512838163	59164	35.24531312325489	5014
r_pp_light_00025.fits	58456	60180.54675915511	2460180.546759155	NaN	NaN	0	1.028569	NaN	-10.3	20	NaN	NaN	12006030.899837948	2349.0884497158454	58456	36.49061275015473	4847
r_pp_light_00026.fits	59002	60180.547073587775	2460180.547073588	NaN	NaN	0	1.028881	NaN	-10.3	20	NaN	NaN	12318194.424255287	2393.1172061444413	59002	38.00438596491228	4788
r_pp_light_00027.fits	59082	60180.54738729168	2460180.5473872917	NaN	NaN	0	1.029193	NaN	-10.2	20	NaN	NaN	12705804.84497193	2448.8319155662152	59082	36.58236030025021	4796
r_pp_light_00028.fits	58849	60180.547701643314	2460180.5477016433	NaN	NaN	0	1.029508	NaN	-10.3	20	NaN	NaN	12191382.740684884	2374.4902158825503	58849	35.955937893411665	4766
r_pp_light_00029.fits	58694	60180.548015543725	2460180.5480155437	NaN	NaN	0	1.029824	NaN	-10.3	20	NaN	NaN	11922657.615818705	2337.0054792255382	58694	38.77315767805681	4858
r_pp_light_00030.fits	58802	60180.548329722136	2460180.548329722	NaN	NaN	0	1.030143	NaN	-10.3	20	NaN	NaN	11581712.599759629	2289.7355061153553	58802	36.67351825982838	5011
