Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	60091	60249.45507972222	2460249.455079722	NaN	NaN	0	1.22827	NaN	-11	15	NaN	NaN	8600714.357580956	60091	49.5531914893617	2914
r_pp_light_00002.fits	60074	60249.455336990766	2460249.4553369908	NaN	NaN	0	1.229139	NaN	-11	15	NaN	NaN	8068025.045645005	60074	48.375843454790825	2964
r_pp_light_00003.fits	60126	60249.455593611114	2460249.455593611	NaN	NaN	0	1.230008	NaN	-11	15	NaN	NaN	8176959.359776807	60126	47.55496157701303	2993
r_pp_light_00004.fits	59630	60249.45584990783	2460249.455849908	NaN	NaN	0	1.230879	NaN	-10.9	15	NaN	NaN	8321831.304828964	59630	46.412053717654764	3053
r_pp_light_00005.fits	59586	60249.456105601974	2460249.456105602	NaN	NaN	0	1.231751	NaN	-10.9	15	NaN	NaN	8409416.603267616	59586	47.85719097339172	2969
r_pp_light_00006.fits	60230	60249.45636157412	2460249.456361574	NaN	NaN	0	1.232624	NaN	-10.9	15	NaN	NaN	8249232.037093142	60230	47.42754802995767	3071
r_pp_light_00007.fits	60186	60249.456617280375	2460249.4566172804	NaN	NaN	0	1.233499	NaN	-10.9	15	NaN	NaN	8759028.72412612	60186	46.537165510406346	3027
r_pp_light_00008.fits	59406	60249.45687245391	2460249.456872454	NaN	NaN	0	1.234376	NaN	-10.9	15	NaN	NaN	9113999.525698485	59406	44.104376012965965	3085
r_pp_light_00009.fits	58201	60249.46000069473	2460249.4600006947	NaN	NaN	0	1.245257	NaN	-11	15	NaN	NaN	10748575.316969631	58201	45.60645161290323	2945
r_pp_light_00010.fits	58370	60249.46025692159	2460249.4602569216	NaN	NaN	0	1.246166	NaN	-11	15	NaN	NaN	10979101.096288739	58370	46.960240561309725	2993
r_pp_light_00011.fits	58064	60249.46051268559	2460249.4605126856	NaN	NaN	0	1.247077	NaN	-11	15	NaN	NaN	11799234.922185572	58064	47.518037049073776	3077
r_pp_light_00012.fits	58208	60249.46076834528	2460249.4607683453	NaN	NaN	0	1.247989	NaN	-11	15	NaN	NaN	10069888.421875179	58208	46.63693633952255	3016
r_pp_light_00013.fits	58272	60249.46102430578	2460249.461024306	NaN	NaN	0	1.248904	NaN	-11	15	NaN	NaN	10934367.179864593	58272	47.530713342140025	3028
r_pp_light_00014.fits	58052	60249.461279710755	2460249.4612797108	NaN	NaN	0	1.24982	NaN	-11	15	NaN	NaN	10363447.515604807	58052	48.28902883659264	3017
r_pp_light_00015.fits	58955	60249.461535057984	2460249.461535058	NaN	NaN	0	1.250737	NaN	-11	15	NaN	NaN	10387641.71656508	58955	47.53331078796077	2957
r_pp_light_00016.fits	58972	60249.46179033583	2460249.461790336	NaN	NaN	0	1.251658	NaN	-11.1	15	NaN	NaN	10672410.829463497	58972	48.608316566063046	2982
r_pp_light_00017.fits	57569	60249.46204630798	2460249.462046308	NaN	NaN	0	1.252581	NaN	-11.1	15	NaN	NaN	10777836.191720739	57569	47.20342894823607	3033
r_pp_light_00018.fits	57860	60249.462301481515	2460249.4623014815	NaN	NaN	0	1.253506	NaN	-11.1	15	NaN	NaN	9730033.329947818	57860	46.01364392678869	3005
r_pp_light_00019.fits	58012	60249.46255690977	2460249.46255691	NaN	NaN	0	1.254433	NaN	-11.1	15	NaN	NaN	11007732.11028878	58012	48.94207216153592	3021
r_pp_light_00020.fits	59354	60249.46281289356	2460249.4628128936	NaN	NaN	0	1.255364	NaN	-11.1	15	NaN	NaN	10716705.739142358	59354	49.06122448979592	3038
r_pp_light_00021.fits	58985	60249.463068345096	2460249.463068345	NaN	NaN	0	1.256296	NaN	-11.1	15	NaN	NaN	9989810.90250344	58985	49.37871204537871	2997
r_pp_light_00022.fits	58826	60249.463323680684	2460249.4633236807	NaN	NaN	0	1.25723	NaN	-11.1	15	NaN	NaN	9579732.739825686	58826	46.463569518716575	2992
r_pp_light_00023.fits	58644	60249.46357966447	2460249.4635796645	NaN	NaN	0	1.258168	NaN	-11.1	15	NaN	NaN	9757403.418853553	58644	48.16024340770791	2958
r_pp_light_00024.fits	59868	60249.46383447945	2460249.4638344795	NaN	NaN	0	1.259105	NaN	-11.1	15	NaN	NaN	9607491.057070758	59868	49.86709072648142	2987
r_pp_light_00025.fits	58669	60249.46408959525	2460249.4640895952	NaN	NaN	0	1.260045	NaN	-11.1	15	NaN	NaN	9980524.34751697	58669	47.89779822543542	3043
r_pp_light_00026.fits	58297	60249.4643450696	2460249.4643450696	NaN	NaN	0	1.260946	NaN	-11.1	15	NaN	NaN	10072358.811816411	58297	49.85791427607155	2963
r_pp_light_00027.fits	59153	60249.46460038237	2460249.4646003824	NaN	NaN	0	1.26189	NaN	-11.1	15	NaN	NaN	10304171.453576423	59153	49.52771400459167	3049
r_pp_light_00028.fits	58600	60249.46485570632	2460249.4648557063	NaN	NaN	0	1.262837	NaN	-11.1	15	NaN	NaN	10710109.72661734	58600	50.94668400520156	3076
r_pp_light_00029.fits	58512	60249.465111666825	2460249.465111667	NaN	NaN	0	1.263793	NaN	-11.1	15	NaN	NaN	10041127.385933222	58512	51.938569989929505	2979
r_pp_light_00030.fits	59207	60249.46536703734	2460249.4653670373	NaN	NaN	0	1.264744	NaN	-11.1	15	NaN	NaN	10916421.34154642	59207	52.50569323509712	2986
r_pp_light_00031.fits	58633	60249.46562322928	2460249.4656232293	NaN	NaN	0	1.265702	NaN	-11.1	15	NaN	NaN	11583303.947772522	58633	51.47092057161848	3009
r_pp_light_00032.fits	58402	60249.46587861143	2460249.4658786114	NaN	NaN	0	1.266661	NaN	-11.2	15	NaN	NaN	10140014.599789985	58402	50.401493021746184	3081
r_pp_light_00033.fits	58816	60249.466133750044	2460249.46613375	NaN	NaN	0	1.267619	NaN	-11.2	15	NaN	NaN	10513128.388437977	58816	52.052945069490406	3022
r_pp_light_00034.fits	58506	60249.46638905117	2460249.466389051	NaN	NaN	0	1.26858	NaN	-11.2	15	NaN	NaN	10379855.55897212	58506	50.56349475110058	2953
r_pp_light_00035.fits	59403	60249.466644791886	2460249.466644792	NaN	NaN	0	1.269548	NaN	-11.2	15	NaN	NaN	10838971.101575961	59403	51.03160270880361	3101
r_pp_light_00036.fits	58725	60249.46689987276	2460249.4668998728	NaN	NaN	0	1.270514	NaN	-11.2	15	NaN	NaN	10814797.151833147	58725	51.27287743640568	3027
r_pp_light_00037.fits	59810	60249.467155208346	2460249.4671552083	NaN	NaN	0	1.271483	NaN	-11.2	15	NaN	NaN	10800671.171585996	59810	49.72086899275839	3038
r_pp_light_00038.fits	58406	60249.46741038235	2460249.4674103823	NaN	NaN	0	1.272453	NaN	-11.2	15	NaN	NaN	11084385.087250864	58406	49.05625	2880
r_pp_light_00039.fits	59220	60249.467666296754	2460249.4676662968	NaN	NaN	0	1.273431	NaN	-11.2	15	NaN	NaN	11097521.518646613	59220	48.98976559920766	3029
r_pp_light_00040.fits	59467	60249.46792200254	2460249.4679220025	NaN	NaN	0	1.274409	NaN	-11.2	15	NaN	NaN	10816139.452831	59467	49.06481790845306	2993
r_pp_light_00041.fits	58402	60249.46817726875	2460249.4681772687	NaN	NaN	0	1.275387	NaN	-11.2	15	NaN	NaN	10820789.30821493	58402	49.3011556764106	2942
r_pp_light_00042.fits	58295	60249.468432558235	2460249.4684325582	NaN	NaN	0	1.276367	NaN	-11.2	15	NaN	NaN	11723519.639202828	58295	48.538096850660345	2953
r_pp_light_00043.fits	58268	60249.46868788218	2460249.468687882	NaN	NaN	0	1.277351	NaN	-11.3	15	NaN	NaN	11325919.919114497	58268	49.89265536723164	3009
r_pp_light_00044.fits	59079	60249.46894337982	2460249.46894338	NaN	NaN	0	1.278293	NaN	-11.3	15	NaN	NaN	9763951.223431658	59079	48.534188034188034	3042
r_pp_light_00045.fits	58375	60249.46919827582	2460249.469198276	NaN	NaN	0	1.27928	NaN	-11.3	15	NaN	NaN	9302565.3632407	58375	49.06820428336079	3035
r_pp_light_00046.fits	59303	60249.4694537851	2460249.469453785	NaN	NaN	0	1.280272	NaN	-11.3	15	NaN	NaN	10053797.76443486	59303	47.86218375499334	3004
r_pp_light_00047.fits	58560	60249.46970912069	2460249.4697091207	NaN	NaN	0	1.281264	NaN	-11.3	15	NaN	NaN	11286511.198820839	58560	47.62032630863358	2942
r_pp_light_00048.fits	58796	60249.46996517386	2460249.469965174	NaN	NaN	0	1.282263	NaN	-11.3	15	NaN	NaN	10819162.678336414	58796	47.43739509902652	2979
r_pp_light_00049.fits	59265	60249.470220382325	2460249.4702203823	NaN	NaN	0	1.283263	NaN	-11.3	15	NaN	NaN	11689135.116876414	59265	47.43418803418803	2925
r_pp_light_00050.fits	56654	60249.47047584504	2460249.470475845	NaN	NaN	0	1.284263	NaN	-11.3	15	NaN	NaN	12445488.795989024	56654	47.67408637873754	3010
r_pp_light_00051.fits	58116	60249.47073104186	2460249.470731042	NaN	NaN	0	1.285267	NaN	-11.3	15	NaN	NaN	12057740.587645164	58116	45.85054719562243	2924
r_pp_light_00052.fits	58386	60249.47098593786	2460249.470985938	NaN	NaN	0	1.28627	NaN	-11.3	15	NaN	NaN	11753380.0835665	58386	46.9055967633176	2966
r_pp_light_00053.fits	58208	60249.471241991036	2460249.471241991	NaN	NaN	0	1.287283	NaN	-11.4	15	NaN	NaN	10455232.408677803	58208	47.50309748940332	3067
r_pp_light_00054.fits	59575	60249.47149726888	2460249.471497269	NaN	NaN	0	1.288294	NaN	-11.4	15	NaN	NaN	11851233.72933632	59575	45.46419185282523	3044
r_pp_light_00055.fits	59451	60249.47175265057	2460249.4717526506	NaN	NaN	0	1.289306	NaN	-11.4	15	NaN	NaN	12001062.974102966	59451	45.034773801485485	2962
r_pp_light_00056.fits	58515	60249.47200778965	2460249.4720077896	NaN	NaN	0	1.290323	NaN	-11.4	15	NaN	NaN	11401736.502943479	58515	44.951644736842105	3040
r_pp_light_00057.fits	58271	60249.472263113596	2460249.4722631136	NaN	NaN	0	1.29134	NaN	-11.4	15	NaN	NaN	10698082.3184286	58271	42.62341049885882	3067
r_pp_light_00058.fits	58668	60249.472518622875	2460249.472518623	NaN	NaN	0	1.292363	NaN	-11.4	15	NaN	NaN	10337707.418629354	58668	43.92435854715095	3001
r_pp_light_00059.fits	58453	60249.47277453728	2460249.4727745373	NaN	NaN	0	1.293388	NaN	-11.4	15	NaN	NaN	9662164.933785206	58453	43.5363184079602	3015
r_pp_light_00060.fits	59447	60249.47302982677	2460249.473029827	NaN	NaN	0	1.294415	NaN	-11.4	15	NaN	NaN	9578101.567660159	59447	43.07637075718016	3064
r_pp_light_00061.fits	58361	60249.473285174	2460249.473285174	NaN	NaN	0	1.295442	NaN	-11.4	15	NaN	NaN	10399112.930304429	58361	44.50016806722689	2975
r_pp_light_00062.fits	57631	60249.473540555686	2460249.4735405557	NaN	NaN	0	1.296429	NaN	-11.4	15	NaN	NaN	10116118.913601417	57631	43.482314049586776	3025
r_pp_light_00063.fits	58901	60249.47379587963	2460249.4737958796	NaN	NaN	0	1.297463	NaN	-11.4	15	NaN	NaN	10457695.063146764	58901	43.894839337877315	3081
r_pp_light_00064.fits	58649	60249.47405182896	2460249.474051829	NaN	NaN	0	1.298501	NaN	-11.4	15	NaN	NaN	11427006.361636836	58649	43.153094462540714	3070
r_pp_light_00065.fits	58015	60249.47430690983	2460249.47430691	NaN	NaN	0	1.299539	NaN	-11.4	15	NaN	NaN	12056888.802837193	58015	45.19031830238727	3016
r_pp_light_00066.fits	56767	60249.47456204891	2460249.474562049	NaN	NaN	0	1.30058	NaN	-11.4	15	NaN	NaN	10740358.068835309	56767	42.45035924232528	3062
r_pp_light_00067.fits	59708	60249.474817465525	2460249.4748174655	NaN	NaN	0	1.301626	NaN	-11.4	15	NaN	NaN	10635516.113750702	59708	43.92048429319372	3056
r_pp_light_00068.fits	58458	60249.475072696805	2460249.475072697	NaN	NaN	0	1.30267	NaN	-11.4	15	NaN	NaN	10251191.527215226	58458	46.36860957342885	3071
r_pp_light_00069.fits	58975	60249.47532866942	2460249.4753286694	NaN	NaN	0	1.303722	NaN	-11.4	15	NaN	NaN	9642684.04699463	58975	45.09702241552359	2989
r_pp_light_00070.fits	58468	60249.475584005006	2460249.475584005	NaN	NaN	0	1.304776	NaN	-11.4	15	NaN	NaN	9956242.652371848	58468	44.033512064343164	2984
r_pp_light_00071.fits	58903	60249.47583940998	2460249.47583941	NaN	NaN	0	1.305829	NaN	-11.4	15	NaN	NaN	9521689.577030806	58903	45.31624500665779	3004
r_pp_light_00072.fits	58077	60249.47609496536	2460249.4760949654	NaN	NaN	0	1.306887	NaN	-11.4	15	NaN	NaN	9698545.932330476	58077	43.51597289448209	3099
r_pp_light_00073.fits	58963	60249.476350138895	2460249.476350139	NaN	NaN	0	1.307947	NaN	-11.4	15	NaN	NaN	9222888.703265399	58963	44.03295956506966	2943
r_pp_light_00074.fits	57711	60249.47660556715	2460249.476605567	NaN	NaN	0	1.309008	NaN	-11.4	15	NaN	NaN	9525684.275742946	57711	41.921521590130226	2918
r_pp_light_00075.fits	58296	60249.47686157422	2460249.476861574	NaN	NaN	0	1.310078	NaN	-11.4	15	NaN	NaN	9134908.28714584	58296	41.92104359766564	2913
r_pp_light_00076.fits	57940	60249.477116956376	2460249.4771169564	NaN	NaN	0	1.311145	NaN	-11.4	15	NaN	NaN	9343996.222122528	57940	43.17874396135266	2898
r_pp_light_00077.fits	58324	60249.477372187655	2460249.4773721877	NaN	NaN	0	1.312165	NaN	-11.4	15	NaN	NaN	10422866.210542962	58324	43.61015831134565	3032
r_pp_light_00078.fits	58969	60249.47762752324	2460249.4776275232	NaN	NaN	0	1.313239	NaN	-11.4	15	NaN	NaN	10329594.914440215	58969	43.37926376224249	2961
