Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	58656	60180.52693387726	2460180.5269338773	NaN	NaN	0	1.012662	NaN	-10.3	20	NaN	NaN	10724485.819492048	2467.1785531209016	58656	20.708350643955132	4814
r_pp_light_00002.fits	57812	60180.52724840259	2460180.5272484026	NaN	NaN	0	1.012859	NaN	-10.3	20	NaN	NaN	11034746.117008874	2515.9435301597023	57812	21.789017341040463	4844
r_pp_light_00003.fits	56978	60180.52756218752	2460180.5275621875	NaN	NaN	0	1.013056	NaN	-10.2	20	NaN	NaN	11197760.902399277	2541.0798939838824	56978	24.021882741535922	4844
r_pp_light_00004.fits	57738	60180.52787593752	2460180.5278759375	NaN	NaN	0	1.013255	NaN	-10.3	20	NaN	NaN	10103836.021057919	2369.118529887797	57738	23.404001616814874	4948
r_pp_light_00005.fits	58334	60180.52818986075	2460180.5281898607	NaN	NaN	0	1.013457	NaN	-10.3	20	NaN	NaN	9707267.634514524	2304.1929577329256	58334	23.48362312980186	4946
r_pp_light_00006.fits	58352	60180.52850521961	2460180.5285052196	NaN	NaN	0	1.01366	NaN	-10.2	20	NaN	NaN	9419174.953243006	2254.7815983298105	58352	24.99144407345576	4792
r_pp_light_00007.fits	59190	60180.528818969615	2460180.5288189696	NaN	NaN	0	1.013865	NaN	-10.3	20	NaN	NaN	9677380.506494971	2299.4979194993016	59190	23.26302030967223	4973
r_pp_light_00008.fits	58821	60180.52913352987	2460180.52913353	NaN	NaN	0	1.014072	NaN	-10.3	20	NaN	NaN	9817319.41088369	2321.728153203633	58821	22.82260049220673	4876
r_pp_light_00009.fits	57553	60180.52944733761	2460180.5294473376	NaN	NaN	0	1.01428	NaN	-10.2	20	NaN	NaN	10417122.291115081	2417.745407241594	57553	24.609663865546217	4760
r_pp_light_00010.fits	57939	60180.52976135397	2460180.529761354	NaN	NaN	0	1.014491	NaN	-10.3	20	NaN	NaN	10080802.828883301	2363.382546458544	57939	24.473295334599957	4737
r_pp_light_00011.fits	57688	60180.530075266026	2460180.530075266	NaN	NaN	0	1.014702	NaN	-10.3	20	NaN	NaN	10444544.19544804	2422.218510521936	57688	23.94357037969373	4767
r_pp_light_00012.fits	59576	60180.530389756896	2460180.530389757	NaN	NaN	0	1.014916	NaN	-10.3	20	NaN	NaN	10670937.096283259	2458.384264867614	59576	24.46891948268669	4794
r_pp_light_00013.fits	58141	60180.530704722274	2460180.5307047223	NaN	NaN	0	1.015133	NaN	-10.2	20	NaN	NaN	10522052.021573829	2434.5639847473967	58141	24.564989517819708	4770
r_pp_light_00014.fits	58553	60180.531018506736	2460180.5310185067	NaN	NaN	0	1.01535	NaN	-10.3	20	NaN	NaN	9693410.250813138	2301.0401070827465	58553	24.247630819942316	4854
r_pp_light_00015.fits	57603	60180.53133253474	2460180.5313325347	NaN	NaN	0	1.015569	NaN	-10.3	20	NaN	NaN	10649311.669158591	2456.515464558625	57603	23.453610326744656	4958
r_pp_light_00016.fits	58269	60180.531646851916	2460180.531646852	NaN	NaN	0	1.01579	NaN	-10.3	20	NaN	NaN	9412671.030613955	2254.663555514116	58269	22.70390832821772	4887
r_pp_light_00017.fits	57519	60180.531960566994	2460180.531960567	NaN	NaN	0	1.016013	NaN	-10.2	20	NaN	NaN	9734329.757764485	2307.392573758991	57519	24.87803864533555	4813
r_pp_light_00018.fits	59456	60180.53227493027	2460180.5322749303	NaN	NaN	0	1.016237	NaN	-10.2	20	NaN	NaN	9704446.855459185	2302.49194841837	59456	26.05350476980506	4822
r_pp_light_00019.fits	59354	60180.53258859925	2460180.5325885992	NaN	NaN	0	1.016463	NaN	-10.3	20	NaN	NaN	9659454.93789268	2295.687080714792	59354	22.717596390484005	4876
r_pp_light_00020.fits	57707	60180.532902580686	2460180.5329025807	NaN	NaN	0	1.016691	NaN	-10.3	20	NaN	NaN	9634006.699545354	2291.527332667293	57707	25.845007147232998	4897
r_pp_light_00021.fits	60048	60180.533217175864	2460180.533217176	NaN	NaN	0	1.016922	NaN	-10.3	20	NaN	NaN	9643810.078799443	2293.927802268367	60048	24.32730560578662	4977
r_pp_light_00022.fits	59311	60180.53353164345	2460180.5335316435	NaN	NaN	0	1.017154	NaN	-10.3	20	NaN	NaN	9082772.649043536	2199.109268220315	59311	25.501928934010152	4925
r_pp_light_00023.fits	59140	60180.53384604165	2460180.5338460417	NaN	NaN	0	1.017387	NaN	-10.3	20	NaN	NaN	8877459.986502646	2164.1314117070856	59140	23.338935007086455	4939
r_pp_light_00024.fits	59683	60180.53415959468	2460180.5341595947	NaN	NaN	0	1.017622	NaN	-10.3	20	NaN	NaN	9047065.418471718	2193.0058793700487	59683	23.622787385554425	4915
r_pp_light_00025.fits	60833	60180.534474050626	2460180.5344740506	NaN	NaN	0	1.01786	NaN	-10.3	20	NaN	NaN	8860084.385621674	2160.6785583767237	60833	24.500306560392396	4893
r_pp_light_00026.fits	59917	60180.53478824068	2460180.5347882407	NaN	NaN	0	1.018099	NaN	-10.3	20	NaN	NaN	9169584.285789896	2213.331819006443	59917	24.361802840090554	4859
r_pp_light_00027.fits	60422	60180.53510271991	2460180.53510272	NaN	NaN	0	1.01834	NaN	-10.3	20	NaN	NaN	8965629.6254666	2178.8549989623584	60422	26.52579001019368	4905
r_pp_light_00028.fits	59240	60180.535417615436	2460180.5354176154	NaN	NaN	0	1.018583	NaN	-10.3	20	NaN	NaN	9274084.742069611	2231.1157236838058	59240	25.378334017234305	4874
r_pp_light_00029.fits	57185	60180.53573136544	2460180.5357313654	NaN	NaN	0	1.018827	NaN	-10.3	20	NaN	NaN	9500947.885342536	2269.414645981988	57185	26.09569475617221	4901
r_pp_light_00030.fits	58951	60180.53604516201	2460180.536045162	NaN	NaN	0	1.019073	NaN	-10.3	20	NaN	NaN	8683111.511834824	2130.8196806464443	58951	26.74839871897518	4996
r_pp_light_00031.fits	58961	60180.536359513644	2460180.5363595136	NaN	NaN	0	1.019321	NaN	-10.3	20	NaN	NaN	9659332.063671239	2295.654581225602	58961	27.919575423555827	4899
r_pp_light_00032.fits	59665	60180.53667347226	2460180.5366734723	NaN	NaN	0	1.019571	NaN	-10.3	20	NaN	NaN	9907164.937913561	2336.8032321883047	59665	24.58980089394555	4922
r_pp_light_00033.fits	57693	60180.536987534724	2460180.5369875347	NaN	NaN	0	1.019823	NaN	-10.3	20	NaN	NaN	10019618.063389644	2352.6762300061214	57693	26.51413881748072	4668
r_pp_light_00034.fits	57585	60180.537301157136	2460180.537301157	NaN	NaN	0	1.020076	NaN	-10.3	20	NaN	NaN	10138456.50997138	2373.508271530426	57585	27.467618456445273	4833
r_pp_light_00035.fits	58018	60180.537615532055	2460180.537615532	NaN	NaN	0	1.020331	NaN	-10.2	20	NaN	NaN	10361376.270420173	2409.8181627378226	58018	26.47414854329093	4874
r_pp_light_00036.fits	58913	60180.53793003457	2460180.5379300346	NaN	NaN	0	1.020589	NaN	-10.2	20	NaN	NaN	9518858.216789054	2271.6197383954313	58913	27.09439834024896	4820
r_pp_light_00037.fits	58520	60180.53824377293	2460180.538243773	NaN	NaN	0	1.020847	NaN	-10.2	20	NaN	NaN	9501534.737705639	2269.6377633445327	58520	25.895807895807895	4914
r_pp_light_00038.fits	58729	60180.5385582638	2460180.538558264	NaN	NaN	0	1.021109	NaN	-10.3	20	NaN	NaN	8925588.59321196	2172.7511154519743	58729	25.50821972734563	4988
r_pp_light_00039.fits	58439	60180.538872129284	2460180.5388721293	NaN	NaN	0	1.021371	NaN	-10.3	20	NaN	NaN	8769804.781863635	2143.5351845384253	58439	26.753641545281823	4737
r_pp_light_00040.fits	59336	60180.53918628441	2460180.5391862844	NaN	NaN	0	1.021635	NaN	-10.3	20	NaN	NaN	9052464.031743983	2193.18525122858	59336	27.117550010311405	4849
