Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	59148	60249.51938148169	2460249.5193814817	NaN	NaN	0	1.528498	NaN	-12.2	15	NaN	NaN	6656617.303871022	59148	40.62391222096103	2643
r_pp_light_00002.fits	62572	60249.51963636605	2460249.519636366	NaN	NaN	0	1.530095	NaN	-12.2	15	NaN	NaN	6222890.067215474	62572	41.362536503963284	2397
r_pp_light_00003.fits	64031	60249.51989180595	2460249.519891806	NaN	NaN	0	1.531695	NaN	-12.2	15	NaN	NaN	6100688.591648226	64031	42.5625	2496
r_pp_light_00004.fits	64047	60249.52014774317	2460249.520147743	NaN	NaN	0	1.53331	NaN	-12.2	15	NaN	NaN	6160560.3477594	64047	41.0224358974359	2496
r_pp_light_00005.fits	62772	60249.520403715316	2460249.5204037153	NaN	NaN	0	1.534922	NaN	-12.2	15	NaN	NaN	6242087.72095956	62772	41.51208106001559	2566
r_pp_light_00006.fits	62933	60249.52065843763	2460249.5206584376	NaN	NaN	0	1.536537	NaN	-12.2	15	NaN	NaN	6165342.791588984	62933	41.69471153846154	2496
r_pp_light_00007.fits	62344	60249.52091406286	2460249.520914063	NaN	NaN	0	1.538158	NaN	-12.2	15	NaN	NaN	6726609.82235938	62344	41.88955105284068	2517
r_pp_light_00008.fits	63099	60249.521170046646	2460249.5211700466	NaN	NaN	0	1.539781	NaN	-12.2	15	NaN	NaN	5967415.619313674	63099	43.02219531880549	2478
r_pp_light_00009.fits	63671	60249.52142598387	2460249.521425984	NaN	NaN	0	1.541335	NaN	-12.2	15	NaN	NaN	6139160.942031826	63671	42.14459788789602	2462
r_pp_light_00010.fits	63192	60249.52168108802	2460249.521681088	NaN	NaN	0	1.542964	NaN	-12.3	15	NaN	NaN	6359131.956703128	63192	42.45793269230769	2496
r_pp_light_00011.fits	63856	60249.52193643525	2460249.5219364353	NaN	NaN	0	1.544599	NaN	-12.3	15	NaN	NaN	5821899.8722561905	63856	40.817093311312966	2422
r_pp_light_00012.fits	62373	60249.522191667	2460249.522191667	NaN	NaN	0	1.546242	NaN	-12.3	15	NaN	NaN	6273403.024264739	62373	40.06910907577019	2402
r_pp_light_00013.fits	63478	60249.52244706033	2460249.5224470603	NaN	NaN	0	1.547889	NaN	-12.3	15	NaN	NaN	6273798.469113298	63478	43.43220007815553	2559
r_pp_light_00014.fits	62275	60249.522702233866	2460249.522702234	NaN	NaN	0	1.549535	NaN	-12.3	15	NaN	NaN	6025801.012631864	62275	43.56772908366534	2510
r_pp_light_00015.fits	63072	60249.522957407404	2460249.5229574074	NaN	NaN	0	1.551181	NaN	-12.3	15	NaN	NaN	5890662.0375032555	63072	41.35210680016687	2397
r_pp_light_00016.fits	63595	60249.52321250038	2460249.5232125004	NaN	NaN	0	1.552834	NaN	-12.3	15	NaN	NaN	6426015.403795459	63595	40.63345786633458	2409
r_pp_light_00017.fits	60721	60249.523467916995	2460249.523467917	NaN	NaN	0	1.554494	NaN	-12.3	15	NaN	NaN	6590800.014848268	60721	42.409744408945684	2504
