Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	58753	60180.514339062385	2460180.5143390624	NaN	NaN	0	1.006253	NaN	-10.2	20	NaN	NaN	14448936.99675351	2934.514705802624	58753	32.80352894528152	5044
r_pp_light_00002.fits	58543	60180.51465414325	2460180.5146541432	NaN	NaN	0	1.006379	NaN	-10.3	20	NaN	NaN	13511539.00660777	2801.8294501236137	58543	35.379324806039	4769
r_pp_light_00003.fits	59039	60180.51496881945	2460180.5149688195	NaN	NaN	0	1.006507	NaN	-10.3	20	NaN	NaN	14024859.150385534	2873.2371518507625	59039	36.5023051131601	4772
r_pp_light_00004.fits	59917	60180.51528341416	2460180.515283414	NaN	NaN	0	1.006636	NaN	-10.3	20	NaN	NaN	13562929.38267615	2812.835770331678	59917	34.72645388682201	5107
r_pp_light_00005.fits	60469	60180.51559725683	2460180.515597257	NaN	NaN	0	1.006767	NaN	-10.3	20	NaN	NaN	12590146.132173741	2668.343074013667	60469	36.64474253569883	4622
r_pp_light_00006.fits	59054	60180.515912164	2460180.515912164	NaN	NaN	0	1.0069	NaN	-10.2	20	NaN	NaN	13171470.461078696	2753.104070913696	59054	37.64824227022448	4722
r_pp_light_00007.fits	59154	60180.51622755779	2460180.516227558	NaN	NaN	0	1.007035	NaN	-10.2	20	NaN	NaN	13520333.811616847	2802.0629651094146	59154	36.88213981244672	4692
r_pp_light_00008.fits	59138	60180.51654224517	2460180.516542245	NaN	NaN	0	1.007172	NaN	-10.3	20	NaN	NaN	13344709.516326929	2777.91567967601	59138	37.85054806070826	4744
r_pp_light_00009.fits	59052	60180.516857152805	2460180.516857153	NaN	NaN	0	1.00731	NaN	-10.3	20	NaN	NaN	13426582.912273718	2791.5365638794706	59052	36.06063072227874	4915
r_pp_light_00010.fits	58587	60180.51717244182	2460180.517172442	NaN	NaN	0	1.00745	NaN	-10.3	20	NaN	NaN	12544122.183343852	2662.700153499268	58587	36.914188615123194	4708
r_pp_light_00011.fits	59572	60180.517487025354	2460180.5174870254	NaN	NaN	0	1.007592	NaN	-10.3	20	NaN	NaN	12819617.92155977	2704.3297387959155	59572	37.69734403953058	4857
r_pp_light_00012.fits	60266	60180.51780130761	2460180.5178013076	NaN	NaN	0	1.007735	NaN	-10.2	20	NaN	NaN	12688202.292962797	2683.7753869048775	60266	38.318874312314854	4726
r_pp_light_00013.fits	59633	60180.51811533561	2460180.5181153356	NaN	NaN	0	1.00788	NaN	-10.3	20	NaN	NaN	12454817.72241507	2649.893892768256	59633	39.20633579725449	4735
r_pp_light_00014.fits	59576	60180.51842956012	2460180.51842956	NaN	NaN	0	1.008026	NaN	-10.3	20	NaN	NaN	11788772.681268612	2555.5902751865274	59576	36.55077284288789	5111
r_pp_light_00015.fits	59275	60180.51874491898	2460180.518744919	NaN	NaN	0	1.008175	NaN	-10.3	20	NaN	NaN	12966880.895261737	2723.9987214834678	59275	37.36307887502643	4729
r_pp_light_00016.fits	58352	60180.519058819395	2460180.5190588194	NaN	NaN	0	1.008325	NaN	-10.2	20	NaN	NaN	14733974.811059887	2970.28031999603	58352	37.491901993355484	4816
r_pp_light_00017.fits	58040	60180.51937299734	2460180.5193729973	NaN	NaN	0	1.008477	NaN	-10.3	20	NaN	NaN	15733871.759106115	3102.0162004248527	58040	38.799916195265034	4773
