Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	58483	60249.58078241907	2460249.580782419	NaN	NaN	0	2.050262	NaN	-13.2	15	NaN	NaN	7121569.021378773	58483	54.55364951227716	2973
r_pp_light_00002.fits	59496	60249.58103774348	2460249.5810377435	NaN	NaN	0	2.053145	NaN	-13.2	15	NaN	NaN	7133883.9724258585	59496	53.99200532978015	3002
r_pp_light_00003.fits	60725	60249.58129305579	2460249.581293056	NaN	NaN	0	2.056048	NaN	-13.2	15	NaN	NaN	7812907.878881792	60725	56.02824858757062	3009
r_pp_light_00004.fits	57415	60249.58154824097	2460249.581548241	NaN	NaN	0	2.058944	NaN	-13.2	15	NaN	NaN	7214374.10855097	57415	54.98920741989882	2965
r_pp_light_00005.fits	63844	60249.58180361148	2460249.5818036115	NaN	NaN	0	2.061862	NaN	-13.2	15	NaN	NaN	6802552.358283762	63844	55.064516129032256	3069
r_pp_light_00006.fits	63357	60249.58205879666	2460249.5820587967	NaN	NaN	0	2.064773	NaN	-13.3	15	NaN	NaN	6652424.355290626	63357	53.595445411922306	2986
r_pp_light_00007.fits	63867	60249.582313750405	2460249.5823137504	NaN	NaN	0	2.067713	NaN	-13.3	15	NaN	NaN	6720213.18737264	63867	54.70931388796818	3017
r_pp_light_00008.fits	0	60249.582568935584	2460249.5825689356	NaN	NaN	0	2.070506	NaN	-13.3	15	NaN	NaN	6728245.324880766	53401	53.06788603587759	2843
r_pp_light_00009.fits	59623	60249.58282427117	2460249.582824271	NaN	NaN	0	2.073441	NaN	-13.3	15	NaN	NaN	6652412.426614956	59623	54.38765350149353	3013
r_pp_light_00010.fits	0	60249.58307964122	2460249.583079641	NaN	NaN	0	2.076407	NaN	-13.3	15	NaN	NaN	6714272.8893011445	54351	54.78963210702341	2990
r_pp_light_00011.fits	61329	60249.58333493071	2460249.5833349307	NaN	NaN	0	2.079356	NaN	-13.3	15	NaN	NaN	7281708.522307462	61329	55.05894448252228	2918
r_pp_light_00012.fits	61675	60249.58359048655	2460249.5835904866	NaN	NaN	0	2.082339	NaN	-13.3	15	NaN	NaN	6763327.382261968	61675	54.91465053763441	2976
r_pp_light_00013.fits	59469	60249.58384570619	2460249.583845706	NaN	NaN	0	2.085303	NaN	-13.3	15	NaN	NaN	6920492.690513037	59469	55.58459468550286	2973
r_pp_light_00014.fits	56289	60249.58410099568	2460249.5841009957	NaN	NaN	0	2.088287	NaN	-13.3	15	NaN	NaN	7295306.802867776	56289	55.58495726495727	2925
r_pp_light_00015.fits	63869	60249.584356273524	2460249.5843562735	NaN	NaN	0	2.091131	NaN	-13.3	15	NaN	NaN	6893508.016888795	63869	56.103266248762786	3031
r_pp_light_00016.fits	61393	60249.584612268955	2460249.584612269	NaN	NaN	0	2.094137	NaN	-13.3	15	NaN	NaN	6406940.204975776	61393	54.05908469945355	2928
r_pp_light_00017.fits	0	60249.584867546335	2460249.5848675463	NaN	NaN	0	2.097143	NaN	-13.3	15	NaN	NaN	7707498.989897343	50669	55.49538145740677	2923
r_pp_light_00018.fits	63006	60249.58512291685	2460249.585122917	NaN	NaN	0	2.100133	NaN	-13.3	15	NaN	NaN	6337288.329922185	63006	54.12079615648593	2914
r_pp_light_00019.fits	64856	60249.58537893556	2460249.5853789356	NaN	NaN	0	2.103151	NaN	-13.3	15	NaN	NaN	5969240.501471343	64856	55.48059904697073	2938
