Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	58135	60179.53134724544	2460179.5313472454	NaN	NaN	0	1.185337	NaN	-10.2	30	NaN	NaN	6797830.5154260155	1916.1178883039938	58135	0	3164
r_pp_light_00002.fits	57762	60179.531776365824	2460179.531776366	NaN	NaN	0	1.184206	NaN	-10.3	30	NaN	NaN	6835733.402289055	1943.1005811031712	57762	8.725265604249667	6024
r_pp_light_00003.fits	56845	60179.532205532305	2460179.5322055323	NaN	NaN	0	1.18308	NaN	-10.3	30	NaN	NaN	6499587.517411772	1869.9895703919144	56845	5.5220072294280245	4703
r_pp_light_00004.fits	56773	60179.53263442125	2460179.5326344213	NaN	NaN	0	1.181959	NaN	-10.3	30	NaN	NaN	6648837.837366361	1906.192036650841	56773	8.787244561634806	6068
r_pp_light_00005.fits	56525	60179.53306378471	2460179.5330637847	NaN	NaN	0	1.180841	NaN	-10.2	30	NaN	NaN	6128847.178032252	1801.1360875025327	56525	9.3362480127186	6290
r_pp_light_00006.fits	56928	60179.533492523246	2460179.5334925232	NaN	NaN	0	1.17973	NaN	-10.3	30	NaN	NaN	6664027.567605702	1899.5793430537803	56928	4.322280534351145	4192
r_pp_light_00007.fits	56615	60179.533921365626	2460179.5339213656	NaN	NaN	0	1.178623	NaN	-10.3	30	NaN	NaN	6394766.0642022565	1842.6388752456908	56615	3.2523388773388775	3848
r_pp_light_00008.fits	56631	60179.53435056703	2460179.534350567	NaN	NaN	0	1.177519	NaN	-10.2	30	NaN	NaN	6394632.353023107	1855.2848778779703	56631	9.311475409836065	6161
r_pp_light_00009.fits	59090	60179.53477939824	2460179.5347793982	NaN	NaN	0	1.176421	NaN	-10.3	30	NaN	NaN	6120991.744619232	1798.8364760504312	59090	9.460806821908822	6098
r_pp_light_00010.fits	59141	60179.535208182875	2460179.535208183	NaN	NaN	0	1.175328	NaN	-10.2	30	NaN	NaN	6293595.082246878	1832.7587166440585	59141	7.712869534430872	5649
r_pp_light_00011.fits	59114	60179.53563747695	2460179.535637477	NaN	NaN	0	1.174237	NaN	-10.3	30	NaN	NaN	6056551.052795238	1777.6029883069343	59114	5.203861697350696	4454
r_pp_light_00012.fits	56704	60179.53606686322	2460179.536066863	NaN	NaN	0	1.173151	NaN	-10.2	30	NaN	NaN	6924637.302559889	1959.0880252499887	56704	8.034904323175054	5644
r_pp_light_00013.fits	57689	60179.5364962616	2460179.5364962616	NaN	NaN	0	1.17207	NaN	-10.3	30	NaN	NaN	5968988.162397155	1759.6114325138076	57689	5.5351831298557155	4505
r_pp_light_00014.fits	58305	60179.536925625056	2460179.536925625	NaN	NaN	0	1.170993	NaN	-10.2	30	NaN	NaN	6105729.193432809	1795.9735172753285	58305	9.841331394409437	6189
r_pp_light_00015.fits	57681	60179.53735493077	2460179.537354931	NaN	NaN	0	1.16992	NaN	-10.3	30	NaN	NaN	5834721.8729530135	1723.1342724198596	57681	2.4762721555174387	3498
r_pp_light_00016.fits	57936	60179.53778415499	2460179.537784155	NaN	NaN	0	1.168852	NaN	-10.3	30	NaN	NaN	6007441.876597287	1774.127919577962	57936	8.212601136168015	5809
r_pp_light_00017.fits	57324	60179.5382129862	2460179.538212986	NaN	NaN	0	1.16779	NaN	-10.2	30	NaN	NaN	5890339.788524035	1739.2911854985907	57324	3.465543259557344	3976
r_pp_light_00018.fits	58830	60179.538641551044	2460179.538641551	NaN	NaN	0	1.166732	NaN	-10.3	30	NaN	NaN	6013238.611441021	1775.7843013456759	58830	8.836593591905565	5930
r_pp_light_00019.fits	56509	60179.53907021973	2460179.5390702197	NaN	NaN	0	1.165679	NaN	-10.3	30	NaN	NaN	6112046.7087380495	1797.063140661381	56509	9.601012575534869	6123
r_pp_light_00020.fits	55765	60179.53949896991	2460179.53949897	NaN	NaN	0	1.16463	NaN	-10.2	30	NaN	NaN	6256191.017351071	1826.534475670918	55765	8.153386454183266	6024
r_pp_light_00021.fits	55613	60179.539928310085	2460179.53992831	NaN	NaN	0	1.163584	NaN	-10.3	30	NaN	NaN	5841220.333977524	1736.4139644917327	55613	7.07445987654321	5184
r_pp_light_00022.fits	57419	60179.54035767354	2460179.5403576735	NaN	NaN	0	1.162542	NaN	-10.3	30	NaN	NaN	5716934.910055816	1713.4498345878415	57419	8.429234338747099	6034
r_pp_light_00023.fits	57212	60179.54078688659	2460179.5407868866	NaN	NaN	0	1.161505	NaN	-10.2	30	NaN	NaN	5676172.777304503	1701.6321232659698	57212	7.301818870784388	5278
r_pp_light_00024.fits	57727	60179.541215625126	2460179.541215625	NaN	NaN	0	1.160473	NaN	-10.3	30	NaN	NaN	6138290.295812473	1802.4769913846956	57727	8.884231210086785	6107
r_pp_light_00025.fits	57539	60179.5416449653	2460179.5416449653	NaN	NaN	0	1.159445	NaN	-10.3	30	NaN	NaN	5866848.578180196	1723.4419645787596	57539	1.1479609032692957	2967
r_pp_light_00026.fits	56169	60179.542073726654	2460179.5420737267	NaN	NaN	0	1.158421	NaN	-10.3	30	NaN	NaN	5663795.469908094	1702.4014174502258	56169	9.742192582953805	6148
r_pp_light_00027.fits	59044	60179.54250299744	2460179.5425029974	NaN	NaN	0	1.157402	NaN	-10.2	30	NaN	NaN	6288580.942050458	1834.5764619402776	59044	10.878928626722402	6459
r_pp_light_00028.fits	58973	60179.54293168988	2460179.54293169	NaN	NaN	0	1.156387	NaN	-10.2	30	NaN	NaN	6575375.504399778	1891.3771068420874	58973	8.67815139970184	6037
r_pp_light_00029.fits	56511	60179.54336122703	2460179.543361227	NaN	NaN	0	1.155375	NaN	-10.3	30	NaN	NaN	6867733.764586245	1948.6788729206953	56511	8.788725154215216	5836
r_pp_light_00030.fits	58096	60179.5437898729	2460179.543789873	NaN	NaN	0	1.15437	NaN	-10.3	30	NaN	NaN	5919671.602344062	1757.4157625043224	58096	10.546434231378765	6310
