Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	61185	60179.5571192014	2460179.5571192014	NaN	NaN	0	1.125175	NaN	-10.3	30	NaN	NaN	16665754.171171715	3000.6839872727714	61185	46.98257839721254	6314
r_pp_light_00002.fits	60065	60179.55754793994	2460179.55754794	NaN	NaN	0	1.124301	NaN	-10.2	30	NaN	NaN	16798720.03804259	3018.786667527774	60065	48.317645231438334	6438
r_pp_light_00003.fits	60574	60179.557977280114	2460179.55797728	NaN	NaN	0	1.12343	NaN	-10.2	30	NaN	NaN	16313753.122844787	2955.1876402867015	60574	47.02741263225393	6238
r_pp_light_00004.fits	60813	60179.55840658583	2460179.558406586	NaN	NaN	0	1.122563	NaN	-10.3	30	NaN	NaN	16316147.417748388	2958.231985330326	60813	45.86542923433875	6465
r_pp_light_00005.fits	59982	60179.558835242875	2460179.558835243	NaN	NaN	0	1.121701	NaN	-10.3	30	NaN	NaN	16697916.285344532	3006.0872444462425	59982	44.46236559139785	6417
r_pp_light_00006.fits	60125	60179.559263946954	2460179.559263947	NaN	NaN	0	1.120843	NaN	-10.2	30	NaN	NaN	16413772.25280798	2968.7311477394164	60125	44.91281562648881	6297
r_pp_light_00007.fits	59067	60179.55969261564	2460179.5596926156	NaN	NaN	0	1.119989	NaN	-10.3	30	NaN	NaN	16327078.248638373	2958.274927544436	59067	45.942668136714445	6349
r_pp_light_00008.fits	59473	60179.56012136582	2460179.560121366	NaN	NaN	0	1.119138	NaN	-10.3	30	NaN	NaN	16239765.60019736	2946.354926745666	59473	45.503025477707006	6280
r_pp_light_00009.fits	59365	60179.560550023336	2460179.5605500233	NaN	NaN	0	1.118292	NaN	-10.2	30	NaN	NaN	17024299.32302523	3045.527262050196	59365	46.57861335871807	6303
r_pp_light_00010.fits	59212	60179.560978657566	2460179.5609786576	NaN	NaN	0	1.117449	NaN	-10.3	30	NaN	NaN	16440877.30807751	2974.238871268759	59212	44.442521631644006	6472
r_pp_light_00011.fits	59741	60179.561407442205	2460179.561407442	NaN	NaN	0	1.116611	NaN	-10.3	30	NaN	NaN	16854825.88978145	3025.4343260336072	59741	44.94270507201002	6388
r_pp_light_00012.fits	58497	60179.56183674745	2460179.5618367475	NaN	NaN	0	1.115775	NaN	-10.2	30	NaN	NaN	16480907.856876368	2976.816790187508	58497	44.5667731629393	6260
r_pp_light_00013.fits	60355	60179.562265404966	2460179.562265405	NaN	NaN	0	1.114944	NaN	-10.3	30	NaN	NaN	16783703.289792947	3016.4324948150156	60355	44.667398119122254	6380
r_pp_light_00014.fits	60012	60179.562694201246	2460179.5626942012	NaN	NaN	0	1.114117	NaN	-10.3	30	NaN	NaN	16334824.842030197	2959.2747879225167	60012	45.68656481335643	6349
r_pp_light_00015.fits	60230	60179.56312344922	2460179.563123449	NaN	NaN	0	1.113293	NaN	-10.3	30	NaN	NaN	16312311.66790874	2956.840905054456	60230	45.52905246671887	6385
r_pp_light_00016.fits	59938	60179.5635522455	2460179.5635522455	NaN	NaN	0	1.112473	NaN	-10.3	30	NaN	NaN	15894773.49748467	2901.234333022158	59938	45.90608891752577	6208
r_pp_light_00017.fits	60394	60179.56398091419	2460179.563980914	NaN	NaN	0	1.111658	NaN	-10.2	30	NaN	NaN	16300214.337828044	2954.299626346232	60394	45.48079365079365	6300
r_pp_light_00018.fits	60147	60179.56440971047	2460179.5644097105	NaN	NaN	0	1.110846	NaN	-10.2	30	NaN	NaN	15929225.668881362	2906.331353004341	60147	46.92292963140258	6267
r_pp_light_00019.fits	59885	60179.56483831024	2460179.5648383102	NaN	NaN	0	1.110038	NaN	-10.3	30	NaN	NaN	16368631.196140794	2963.3622895364806	59885	45.01469658659924	6328
r_pp_light_00020.fits	59059	60179.56526696775	2460179.5652669678	NaN	NaN	0	1.109234	NaN	-10.3	30	NaN	NaN	16787633.915542133	3013.927402102447	59059	46.35857352222765	6141
r_pp_light_00021.fits	60369	60179.56569512747	2460179.5656951275	NaN	NaN	0	1.108435	NaN	-10.2	30	NaN	NaN	15990371.487660235	2914.2663165205195	60369	47.352988047808765	6275
r_pp_light_00022.fits	59822	60179.566123993136	2460179.566123993	NaN	NaN	0	1.107638	NaN	-10.3	30	NaN	NaN	16487188.128654849	2979.659197642487	59822	45.73194595434074	6439
r_pp_light_00023.fits	58974	60179.56655339105	2460179.566553391	NaN	NaN	0	1.106844	NaN	-10.3	30	NaN	NaN	17735774.99494494	3134.1652030327327	58974	46.84246898068164	6367
r_pp_light_00024.fits	59543	60179.56698214123	2460179.566982141	NaN	NaN	0	1.106055	NaN	-10.2	30	NaN	NaN	16030249.514897455	2919.8066597449865	59543	45.840710772647945	6303
r_pp_light_00025.fits	59585	60179.56741173612	2460179.567411736	NaN	NaN	0	1.105269	NaN	-10.3	30	NaN	NaN	15973670.355199065	2911.930151555463	59585	45.13442150744119	6249
r_pp_light_00026.fits	58672	60179.5678411806	2460179.5678411806	NaN	NaN	0	1.104486	NaN	-10.3	30	NaN	NaN	15750979.127408953	2884.1961945351272	58672	48.456121002048214	6347
r_pp_light_00027.fits	59435	60179.56826974545	2460179.5682697454	NaN	NaN	0	1.103709	NaN	-10.2	30	NaN	NaN	17927620.09649576	3156.5356182206465	59435	46.57572861920688	6279
r_pp_light_00028.fits	58249	60179.56869831029	2460179.5686983103	NaN	NaN	0	1.102935	NaN	-10.2	30	NaN	NaN	16193570.430082658	2941.701256073362	58249	45.92907468294974	6387
r_pp_light_00029.fits	59857	60179.56912702555	2460179.5691270255	NaN	NaN	0	1.102165	NaN	-10.3	30	NaN	NaN	16804471.25425429	3018.617636722307	59857	47.58666247247562	6358
r_pp_light_00030.fits	60067	60179.56955619203	2460179.569556192	NaN	NaN	0	1.101398	NaN	-10.3	30	NaN	NaN	16159669.209671723	2937.0442412992875	60067	46.512889028607354	6362
