Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	59724	60179.54423640063	2460179.5442364006	NaN	NaN	0	1.153327	NaN	-10.3	30	NaN	NaN	10710614.673691355	2402.5802322161853	59724	25.480560578661844	6636
r_pp_light_00002.fits	60283	60179.54466519691	2460179.544665197	NaN	NaN	0	1.152329	NaN	-10.3	30	NaN	NaN	10239356.442894494	2327.943376745253	60283	24.59882935614588	6663
r_pp_light_00003.fits	59115	60179.54509445606	2460179.545094456	NaN	NaN	0	1.151335	NaN	-10.2	30	NaN	NaN	10056611.700650394	2296.6089401211916	59115	26.3983382975388	6379
r_pp_light_00004.fits	58438	60179.54552329844	2460179.5455232984	NaN	NaN	0	1.150346	NaN	-10.2	30	NaN	NaN	10132475.478522182	2308.63223556693	58438	25.936603059454345	6341
r_pp_light_00005.fits	58087	60179.54595203698	2460179.545952037	NaN	NaN	0	1.149362	NaN	-10.2	30	NaN	NaN	10193253.688483935	2319.0397268673873	58087	27.69319063130138	6447
r_pp_light_00006.fits	57683	60179.5463808449	2460179.546380845	NaN	NaN	0	1.148382	NaN	-10.3	30	NaN	NaN	10671739.749429611	2395.3921268336435	57683	25.596721818462967	6467
r_pp_light_00007.fits	57903	60179.54681015061	2460179.5468101506	NaN	NaN	0	1.147404	NaN	-10.3	30	NaN	NaN	10621611.256669585	2388.323012027106	57903	24.808252427184467	6592
r_pp_light_00008.fits	57215	60179.54723880766	2460179.5472388077	NaN	NaN	0	1.146433	NaN	-10.2	30	NaN	NaN	11764808.518024268	2562.11499464867	57215	27.429026605066113	6277
r_pp_light_00009.fits	58865	60179.54766804399	2460179.547668044	NaN	NaN	0	1.145464	NaN	-10.2	30	NaN	NaN	11131953.94134757	2465.975045768755	58865	26.879460745440127	6305
r_pp_light_00010.fits	58477	60179.548096713144	2460179.548096713	NaN	NaN	0	1.144501	NaN	-10.2	30	NaN	NaN	10909448.424091358	2432.7590598150514	58477	26.01910043130006	6492
r_pp_light_00011.fits	58862	60179.548525439575	2460179.5485254396	NaN	NaN	0	1.143541	NaN	-10.3	30	NaN	NaN	10389192.881006578	2349.2377556637803	58862	27.345828680810335	6269
r_pp_light_00012.fits	59734	60179.5489548496	2460179.5489548496	NaN	NaN	0	1.142585	NaN	-10.3	30	NaN	NaN	11162884.289782116	2472.4608724487757	59734	26.868413036856534	6566
r_pp_light_00013.fits	59792	60179.54938350711	2460179.549383507	NaN	NaN	0	1.141634	NaN	-10.3	30	NaN	NaN	10624550.408416666	2387.399709224499	59792	27.327338129496404	6394
r_pp_light_00014.fits	60459	60179.54981230339	2460179.5498123034	NaN	NaN	0	1.140687	NaN	-10.2	30	NaN	NaN	11313162.637224965	2494.632730745718	60459	27.777173067952106	6431
r_pp_light_00015.fits	59853	60179.55024156254	2460179.5502415625	NaN	NaN	0	1.139743	NaN	-10.3	30	NaN	NaN	11046611.396118695	2455.0175364781267	59853	24.651289009497965	6633
r_pp_light_00016.fits	60346	60179.550670173485	2460179.5506701735	NaN	NaN	0	1.138805	NaN	-10.3	30	NaN	NaN	10882937.653945273	2427.176901458228	60346	28.07395038167939	6288
r_pp_light_00017.fits	59821	60179.5510987849	2460179.551098785	NaN	NaN	0	1.13787	NaN	-10.2	30	NaN	NaN	10861551.477666946	2425.4885748450442	59821	27.001531393568147	6530
r_pp_light_00018.fits	59453	60179.551528078504	2460179.5515280785	NaN	NaN	0	1.136939	NaN	-10.3	30	NaN	NaN	10870587.440958483	2427.031054921558	59453	27.30978177933771	6553
