Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fit	58113	60180.41042972263	2460180.4104297226	NaN	NaN	0	1.110928	NaN	-10.3	15	NaN	NaN	10027734.247031683	2425.4777745577935	58113	30.076041920545943	4103
r_pp_light_00002.fit	60171	60180.41068594949	2460180.4106859495	NaN	NaN	0	1.111466	NaN	-10.3	15	NaN	NaN	10228028.130177801	2456.1272470585504	60171	29.587830957230143	3928
r_pp_light_00003.fit	58174	60180.41094173631	2460180.4109417363	NaN	NaN	0	1.112005	NaN	-10.2	15	NaN	NaN	10214149.711951654	2455.192456120335	58174	25.88822800495663	4035
r_pp_light_00004.fit	58788	60180.41119844932	2460180.4111984493	NaN	NaN	0	1.112547	NaN	-10.2	15	NaN	NaN	11560912.42019459	2666.381265139155	58788	26.552224133693784	4069
r_pp_light_00005.fit	58784	60180.411454039626	2460180.4114540396	NaN	NaN	0	1.113088	NaN	-10.2	15	NaN	NaN	11295832.391657526	2625.1749621851777	58784	29.043640897755612	4010
r_pp_light_00006.fit	59719	60180.41170982644	2460180.4117098264	NaN	NaN	0	1.113631	NaN	-10.2	15	NaN	NaN	10688860.661126995	2531.307676717869	59719	30.796863513844645	4081
r_pp_light_00007.fit	59456	60180.41196621535	2460180.4119662154	NaN	NaN	0	1.114177	NaN	-10.2	15	NaN	NaN	11031015.604895102	2584.566475032937	59456	30.63222936233317	4046
r_pp_light_00008.fit	60004	60180.412221863866	2460180.412221864	NaN	NaN	0	1.114724	NaN	-10.2	15	NaN	NaN	11949491.331440717	2723.656289524028	60004	32.2176648213387	3974
r_pp_light_00009.fit	58537	60180.41247767396	2460180.412477674	NaN	NaN	0	1.115272	NaN	-10.2	15	NaN	NaN	13522034.87448898	2951.063728420473	58537	32.00553598389532	3974
r_pp_light_00010.fit	58627	60180.41273331037	2460180.4127333104	NaN	NaN	0	1.115821	NaN	-10.2	15	NaN	NaN	11254616.382073727	2618.387166304059	58627	31.42016595423686	3977
r_pp_light_00011.fit	58399	60180.412988970056	2460180.41298897	NaN	NaN	0	1.116372	NaN	-10.2	15	NaN	NaN	10941101.996075444	2569.3030822759897	58399	30.94174510302722	3931
r_pp_light_00012.fit	58786	60180.41324469913	2460180.413244699	NaN	NaN	0	1.116924	NaN	-10.2	15	NaN	NaN	11542973.571662279	2662.2139747505194	58786	31.405111336032387	3952
r_pp_light_00013.fit	58211	60180.41350108804	2460180.413501088	NaN	NaN	0	1.11748	NaN	-10.2	15	NaN	NaN	12060427.168749543	2739.43685802601	58211	32.356539544407475	3907
r_pp_light_00014.fit	57483	60180.41375677101	2460180.413756771	NaN	NaN	0	1.118036	NaN	-10.2	15	NaN	NaN	13208524.020632945	2907.3312380071393	57483	32.475621890547266	4020
r_pp_light_00017.fit	57490	60180.41452474566	2460180.4145247457	NaN	NaN	0	1.119715	NaN	-10.2	15	NaN	NaN	13720734.710079122	2978.2368556124866	57490	31.79290997194593	3921
r_pp_light_00018.fit	57421	60180.414781134576	2460180.4147811346	NaN	NaN	0	1.120278	NaN	-10.2	15	NaN	NaN	12575634.429739388	2815.403633690855	57421	30.385557540188824	3919
r_pp_light_00020.fit	57583	60180.4152939124	2460180.4152939124	NaN	NaN	0	1.12141	NaN	-10.2	15	NaN	NaN	13549409.2097376	2954.7741262054196	57583	30.481172605509226	3957
r_pp_light_00022.fit	58866	60180.415805347264	2460180.4158053473	NaN	NaN	0	1.122546	NaN	-10.2	15	NaN	NaN	14685304.922361763	3109.8359374536053	58866	30.531177829099306	3897
r_pp_light_00024.fit	57504	60180.416317338124	2460180.416317338	NaN	NaN	0	1.12369	NaN	-10.2	15	NaN	NaN	14446772.065102529	3077.475900971007	57504	30.558505154639175	3880
r_pp_light_00027.fit	58210	60180.41708503477	2460180.417085035	NaN	NaN	0	1.125416	NaN	-10.3	15	NaN	NaN	13225915.899793709	2909.2598206274956	58210	31.44654563792234	3966
r_pp_light_00036.fit	58099	60180.41938789375	2460180.4193878938	NaN	NaN	0	1.130684	NaN	-10.2	15	NaN	NaN	14709924.795680078	3113.2943764194406	58099	31.98314606741573	3916
r_pp_light_00037.fit	59240	60180.419644282665	2460180.4196442827	NaN	NaN	0	1.131279	NaN	-10.3	15	NaN	NaN	13054114.118128173	2885.379330784774	59240	30.124844256167457	4013
r_pp_light_00038.fit	59233	60180.419899988454	2460180.4198999885	NaN	NaN	0	1.131874	NaN	-10.3	15	NaN	NaN	12122522.352000587	2750.311638331439	59233	28.295426452410382	4045
r_pp_light_00039.fit	57809	60180.420155625325	2460180.4201556253	NaN	NaN	0	1.13247	NaN	-10.3	15	NaN	NaN	13159559.56849852	2899.2922570715273	57809	30.573473038589317	3913
r_pp_light_00040.fit	58384	60180.4204120026	2460180.4204120026	NaN	NaN	0	1.13307	NaN	-10.3	15	NaN	NaN	12743510.78036693	2841.9341450653415	58384	30.405962190984003	4126
r_pp_light_00041.fit	58067	60180.42066849582	2460180.420668496	NaN	NaN	0	1.133671	NaN	-10.2	15	NaN	NaN	13327132.442633191	2925.181654908831	58067	30.109868740884785	4114
r_pp_light_00042.fit	57754	60180.42092428263	2460180.4209242826	NaN	NaN	0	1.134273	NaN	-10.2	15	NaN	NaN	12747781.257359285	2842.899496424119	57754	31.687229956793086	4166
r_pp_light_00044.fit	58173	60180.42143636616	2460180.421436366	NaN	NaN	0	1.135482	NaN	-10.2	15	NaN	NaN	12955863.772284776	2870.8236833524597	58173	32.08809463881198	3973
r_pp_light_00045.fit	57781	60180.42169270851	2460180.4216927085	NaN	NaN	0	1.13609	NaN	-10.2	15	NaN	NaN	13283887.833706068	2918.50457377177	57781	29.399161735700197	4056
r_pp_light_00046.fit	56842	60180.42194831045	2460180.4219483105	NaN	NaN	0	1.136698	NaN	-10.2	15	NaN	NaN	13079170.599868083	2888.6624057203967	56842	30.4677702533233	3987
r_pp_light_00047.fit	57603	60180.4222046528	2460180.422204653	NaN	NaN	0	1.13731	NaN	-10.2	15	NaN	NaN	12631949.8799216	2823.932367957118	57603	30.042289187135985	3949
r_pp_light_00048.fit	58383	60180.42246030131	2460180.4224603013	NaN	NaN	0	1.137921	NaN	-10.2	15	NaN	NaN	12495388.950851602	2803.2100765920372	58383	31.072220789270055	3877
r_pp_light_00049.fit	57815	60180.42271598382	2460180.422715984	NaN	NaN	0	1.138534	NaN	-10.2	15	NaN	NaN	13197881.61414985	2903.930061252308	57815	31.44109232769831	3845
r_pp_light_00050.fit	57949	60180.422971736174	2460180.422971736	NaN	NaN	0	1.139149	NaN	-10.2	15	NaN	NaN	14095817.479406793	3030.692606487013	57949	31.470721286755467	3979
