Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fit	62269	60180.43605828704	2460180.436058287	NaN	NaN	0	1.172942	NaN	-10.2	15	NaN	NaN	27162475.24665867	3960.970636801827	62269	122.38509316770187	4669
r_pp_light_00002.fit	61332	60180.43631405104	2460180.436314051	NaN	NaN	0	1.173649	NaN	-10.2	15	NaN	NaN	37841634.00310225	4930.7932361149005	61332	140.94212765957448	4700
r_pp_light_00003.fit	62303	60180.43657042831	2460180.4365704283	NaN	NaN	0	1.17436	NaN	-10.2	15	NaN	NaN	31633154.57819127	4384.110831185648	62303	135.79574098218166	4602
r_pp_light_00004.fit	61974	60180.43682630826	2460180.4368263083	NaN	NaN	0	1.175071	NaN	-10.2	15	NaN	NaN	30176176.97355808	4250.675966634924	61974	132.49978531558608	4658
r_pp_light_00005.fit	62459	60180.43708274327	2460180.4370827433	NaN	NaN	0	1.175786	NaN	-10.2	15	NaN	NaN	32097996.51170386	4421.233098234099	62459	130.45917213300157	4421
r_pp_light_00007.fit	61240	60180.43759428244	2460180.4375942824	NaN	NaN	0	1.177217	NaN	-10.2	15	NaN	NaN	28794179.620264508	4122.611475200812	61240	118.43661674752163	4741
r_pp_light_00010.fit	59931	60180.43836216442	2460180.4383621644	NaN	NaN	0	1.17938	NaN	-10.2	15	NaN	NaN	24158183.710595764	3659.349774399173	59931	98.50398657154847	4766
r_pp_light_00014.fit	59718	60180.439384873025	2460180.439384873	NaN	NaN	0	1.182286	NaN	-10.2	15	NaN	NaN	28983664.67306612	4140.69912026146	59718	114.92873757665468	4729
r_pp_light_00015.fit	60022	60180.43964067148	2460180.4396406715	NaN	NaN	0	1.183018	NaN	-10.2	15	NaN	NaN	33774660.201717936	4579.453031696176	60022	135.45339618598672	4667
r_pp_light_00016.fit	60304	60180.43989645876	2460180.4398964588	NaN	NaN	0	1.183752	NaN	-10.2	15	NaN	NaN	31522923.615569808	4377.089917901852	60304	135.45696068012754	4705
r_pp_light_00017.fit	60244	60180.440152303316	2460180.4401523033	NaN	NaN	0	1.184487	NaN	-10.2	15	NaN	NaN	26959363.71812083	3944.954590029977	60244	132.8499069671284	4837
r_pp_light_00018.fit	60758	60180.44040803285	2460180.440408033	NaN	NaN	0	1.185224	NaN	-10.2	15	NaN	NaN	30921572.571230542	4321.159478594861	60758	132.38476312419974	4686
r_pp_light_00019.fit	60243	60180.440663958434	2460180.4406639584	NaN	NaN	0	1.185964	NaN	-10.2	15	NaN	NaN	32386692.06698523	4450.5935790604335	60243	137.55494263018534	4532
r_pp_light_00020.fit	61305	60180.440919791814	2460180.440919792	NaN	NaN	0	1.186705	NaN	-10.2	15	NaN	NaN	34097853.213866785	4606.958833737825	61305	133.94076956333765	4626
r_pp_light_00021.fit	61752	60180.441175428685	2460180.4411754287	NaN	NaN	0	1.187448	NaN	-10.2	15	NaN	NaN	30037569.126779817	4237.808289335415	61752	140.63242204186244	4682
r_pp_light_00022.fit	61526	60180.44143108837	2460180.4414310884	NaN	NaN	0	1.188192	NaN	-10.2	15	NaN	NaN	31522892.58309256	4372.966752647421	61526	141.33922724296005	4581
r_pp_light_00023.fit	61798	60180.44168684073	2460180.4416868407	NaN	NaN	0	1.188939	NaN	-10.2	15	NaN	NaN	32038899.0389414	4423.8500126107865	61798	145.25817409766455	4710
r_pp_light_00025.fit	62524	60180.44219886605	2460180.442198866	NaN	NaN	0	1.19044	NaN	-10.2	15	NaN	NaN	36339645.74490675	4800.248830792951	62524	151.0607507051421	4609
r_pp_light_00026.fit	62722	60180.442454514094	2460180.442454514	NaN	NaN	0	1.191192	NaN	-10.3	15	NaN	NaN	33994350.71760179	4595.3438043053275	62722	150.85552160628546	4582
r_pp_light_00027.fit	63441	60180.44271044014	2460180.44271044	NaN	NaN	0	1.191947	NaN	-10.3	15	NaN	NaN	31298010.877473496	4349.849198472491	63441	145.86575099689853	4514
r_pp_light_00028.fit	64305	60180.44296618085	2460180.442966181	NaN	NaN	0	1.192704	NaN	-10.3	15	NaN	NaN	28456386.105167195	4086.05889788962	64305	149.51625320786997	4676
r_pp_light_00029.fit	62905	60180.44322152808	2460180.443221528	NaN	NaN	0	1.193461	NaN	-10.3	15	NaN	NaN	26085218.465870116	3851.750086887951	62905	150.33903012176884	4681
r_pp_light_00030.fit	62742	60180.443477893714	2460180.4434778937	NaN	NaN	0	1.194223	NaN	-10.3	15	NaN	NaN	27857404.366446305	4027.886625998166	62742	151.5132365499573	4684
r_pp_light_00031.fit	62001	60180.44373436365	2460180.4437343637	NaN	NaN	0	1.194988	NaN	-10.2	15	NaN	NaN	28296146.181243334	4069.650508203324	62001	150.15038726333907	4648
r_pp_light_00032.fit	61916	60180.44399016211	2460180.443990162	NaN	NaN	0	1.195752	NaN	-10.2	15	NaN	NaN	28785034.314090967	4112.582428083289	61916	144.6711140760507	4497
r_pp_light_00033.fit	61755	60180.444246690255	2460180.4442466903	NaN	NaN	0	1.196521	NaN	-10.2	15	NaN	NaN	28994023.354443148	4134.863644819649	61755	140.91533230971703	4559
