Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fit	59080	60180.42324517388	2460180.423245174	NaN	NaN	0	1.139809	NaN	-10.2	15	NaN	NaN	26277272.28069583	4052.0075169325814	59080	65.98314014752371	4745
r_pp_light_00002.fit	59633	60180.423501586076	2460180.423501586	NaN	NaN	0	1.140429	NaN	-10.2	15	NaN	NaN	23205834.54753223	3734.9801569602296	59633	62.031903874041845	4827
r_pp_light_00003.fit	60021	60180.42375802109	2460180.423758021	NaN	NaN	0	1.141051	NaN	-10.2	15	NaN	NaN	24317446.531645358	3849.229119736081	60021	66.55907534246575	4672
r_pp_light_00004.fit	60538	60180.4240137618	2460180.424013762	NaN	NaN	0	1.141673	NaN	-10.2	15	NaN	NaN	22923574.52601585	3703.5332124321035	60538	64.66074043087221	4781
r_pp_light_00005.fit	61558	60180.42426956026	2460180.4242695603	NaN	NaN	0	1.142296	NaN	-10.2	15	NaN	NaN	22520592.65035842	3660.195781580446	61558	66.99146366854049	4803
r_pp_light_00006.fit	61198	60180.42452524323	2460180.424525243	NaN	NaN	0	1.142922	NaN	-10.2	15	NaN	NaN	22345743.016213343	3638.0786561305076	61198	66.03221649484536	4656
r_pp_light_00007.fit	61927	60180.424780949485	2460180.4247809495	NaN	NaN	0	1.143549	NaN	-10.2	15	NaN	NaN	22759897.204998836	3684.187943609036	61927	66.45081793074145	4707
r_pp_light_00008.fit	60276	60180.4250373384	2460180.4250373384	NaN	NaN	0	1.144179	NaN	-10.2	15	NaN	NaN	31090119.54887267	4513.983878234744	60276	67.11629899336046	4669
r_pp_light_00009.fit	61841	60180.425293136854	2460180.425293137	NaN	NaN	0	1.144809	NaN	-10.2	15	NaN	NaN	23761778.95026001	3791.3903945842685	61841	68.1176720475786	4708
r_pp_light_00010.fit	61089	60180.42554892367	2460180.4255489237	NaN	NaN	0	1.145442	NaN	-10.2	15	NaN	NaN	27276674.91454234	4149.140499433882	61089	65.47038478166883	4626
r_pp_light_00011.fit	61094	60180.42580464156	2460180.4258046416	NaN	NaN	0	1.146076	NaN	-10.2	15	NaN	NaN	26887889.49924027	4111.605434199516	61094	66.83960650128314	4676
r_pp_light_00012.fit	61162	60180.42606103048	2460180.4260610305	NaN	NaN	0	1.146713	NaN	-10.2	15	NaN	NaN	27224690.86145823	4144.609719017137	61162	67.4374329255205	4659
