Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	0	60180.45267497655	2460180.4526749766	NaN	NaN	0	1.162131	NaN	-10.3	20	NaN	NaN	6797376.635105112	1894.8324692939339	45290	0	2071
r_pp_light_00002.fits	0	60180.45298872655	2460180.4529887266	NaN	NaN	0	1.162431	NaN	-10.3	20	NaN	NaN	7020304.912413648	1955.4434598556181	43730	5.0654596100278555	2872
r_pp_light_00003.fits	0	60180.45330302045	2460180.4533030204	NaN	NaN	0	1.162733	NaN	-10.3	20	NaN	NaN	7412719.988891188	2042.4781603273275	43924	8.415808444902163	3884
r_pp_light_00004.fits	0	60180.45361687476	2460180.4536168748	NaN	NaN	0	1.163035	NaN	-10.3	20	NaN	NaN	7201553.545228797	1990.0538533252188	43720	3.8579964850615114	2845
r_pp_light_00005.fits	0	60180.453930532094	2460180.453930532	NaN	NaN	0	1.163339	NaN	-10.3	20	NaN	NaN	6457945.127915045	1847.1678259434673	45597	5.012313674659754	3086
r_pp_light_00006.fits	0	60180.454245080706	2460180.4542450807	NaN	NaN	0	1.163643	NaN	-10.2	20	NaN	NaN	6270586.943377439	1817.134003180485	45057	8.86529442417926	3838
r_pp_light_00007.fits	0	60180.4545590044	2460180.4545590044	NaN	NaN	0	1.163949	NaN	-10.2	20	NaN	NaN	6085440.7930214275	1779.5592003129543	54112	8.485553566862695	3911
r_pp_light_00008.fits	0	60180.45487284707	2460180.454872847	NaN	NaN	0	1.164255	NaN	-10.2	20	NaN	NaN	6718290.393634192	1907.939906289704	49520	9.13064681724846	3896
r_pp_light_00009.fits	0	60180.455186782405	2460180.4551867824	NaN	NaN	0	1.164563	NaN	-10.2	20	NaN	NaN	6336098.74885959	1826.741683204865	52143	6.073482428115016	3443
r_pp_light_00010.fits	0	60180.45550061343	2460180.4555006134	NaN	NaN	0	1.164871	NaN	-10.2	20	NaN	NaN	6503472.269551412	1865.0670521382413	49397	8.133487061234948	3903
r_pp_light_00011.fits	0	60180.455815381836	2460180.455815382	NaN	NaN	0	1.165181	NaN	-10.2	20	NaN	NaN	6963377.036591613	1955.7605117674213	43500	7.990894901144641	3844
r_pp_light_00012.fits	0	60180.45612929389	2460180.456129294	NaN	NaN	0	1.165491	NaN	-10.2	20	NaN	NaN	6987437.086898022	1957.764782578486	44344	6.784269662921348	3560
r_pp_light_00013.fits	0	60180.45644308999	2460180.45644309	NaN	NaN	0	1.165803	NaN	-10.2	20	NaN	NaN	6650267.388801213	1865.0966873591858	47493	0.6606533398342272	2051
r_pp_light_00014.fits	0	60180.456757013686	2460180.4567570137	NaN	NaN	0	1.166115	NaN	-10.2	20	NaN	NaN	6206997.8952202825	1781.5684255722756	44891	1.974561403508772	2280
r_pp_light_00015.fits	0	60180.45707192132	2460180.4570719213	NaN	NaN	0	1.166429	NaN	-10.2	20	NaN	NaN	6173633.029546439	1797.4805397206467	42832	7.96277145811789	3868
r_pp_light_00016.fits	0	60180.45738589112	2460180.457385891	NaN	NaN	0	1.166744	NaN	-10.2	20	NaN	NaN	5567256.605211724	1669.5079500586787	48172	8.189571024916518	3893
r_pp_light_00017.fits	0	60180.45769979153	2460180.4576997915	NaN	NaN	0	1.167059	NaN	-10.2	20	NaN	NaN	6103904.463701355	1776.4201372213136	51595	5.1077639751552795	3220
r_pp_light_00018.fits	0	60180.4580136803	2460180.4580136803	NaN	NaN	0	1.167375	NaN	-10.2	20	NaN	NaN	6531278.724819116	1863.6281885298786	50252	5.774323904258626	3217
r_pp_light_00019.fits	0	60180.458327627275	2460180.4583276273	NaN	NaN	0	1.167693	NaN	-10.2	20	NaN	NaN	6897775.279711777	1942.1320606041813	47886	7.850638977635783	3756
r_pp_light_00020.fits	0	60180.458642488346	2460180.4586424883	NaN	NaN	0	1.168012	NaN	-10.2	20	NaN	NaN	6445741.044455044	1848.1463973988339	50847	5.566884661117717	3364
r_pp_light_00021.fits	0	60180.458957349416	2460180.4589573494	NaN	NaN	0	1.168333	NaN	-10.2	20	NaN	NaN	6272534.737984062	1818.665894870116	47190	8.575963718820862	3969
r_pp_light_00022.fits	0	60180.45927131921	2460180.459271319	NaN	NaN	0	1.168653	NaN	-10.2	20	NaN	NaN	6733462.5374016045	1906.6195651360447	43613	6.469067673540517	3443
r_pp_light_00023.fits	0	60180.45958498819	2460180.459584988	NaN	NaN	0	1.168974	NaN	-10.2	20	NaN	NaN	6778406.256625911	1918.8041761594975	39520	7.5542009011396765	3773
r_pp_light_00024.fits	0	60180.459898819216	2460180.459898819	NaN	NaN	0	1.169296	NaN	-10.2	20	NaN	NaN	7189283.495955973	1992.556995433429	45463	5.704830614805521	3188
r_pp_light_00025.fits	0	60180.46021255758	2460180.4602125576	NaN	NaN	0	1.169619	NaN	-10.2	20	NaN	NaN	7396433.777514232	2030.1402313324465	44317	5.012163050624589	3042
r_pp_light_00026.fits	0	60180.46052646963	2460180.4605264696	NaN	NaN	0	1.169944	NaN	-10.2	20	NaN	NaN	7154909.834004757	1984.4476795300736	47663	5.130774235523748	3074
r_pp_light_00027.fits	0	60180.46084032394	2460180.460840324	NaN	NaN	0	1.170269	NaN	-10.2	20	NaN	NaN	6719516.834302315	1904.352333454914	40684	6.812893982808023	3490
r_pp_light_00028.fits	0	60180.46115512727	2460180.4611551273	NaN	NaN	0	1.170596	NaN	-10.2	20	NaN	NaN	6979298.566525838	1958.3984240025002	45984	8.429098576700053	3794
r_pp_light_00029.fits	0	60180.461468784604	2460180.4614687846	NaN	NaN	0	1.170923	NaN	-10.2	20	NaN	NaN	6977137.089882276	1957.0249800499582	42092	7.97642915199133	3691
r_pp_light_00030.fits	0	60180.46178346034	2460180.4617834603	NaN	NaN	0	1.171252	NaN	-10.2	20	NaN	NaN	6965543.104023107	1954.0997956500873	43890	7.572611816675869	3622
r_pp_light_00031.fits	0	60180.46209716424	2460180.4620971642	NaN	NaN	0	1.171582	NaN	-10.2	20	NaN	NaN	6830067.029611324	1930.0921141984675	43536	9.166581240389544	3902
r_pp_light_00032.fits	0	60180.46241093753	2460180.4624109375	NaN	NaN	0	1.171912	NaN	-10.2	20	NaN	NaN	7184586.05873423	1998.4075100508448	45842	8.058869701726845	3822
r_pp_light_00033.fits	0	60180.46272554388	2460180.462725544	NaN	NaN	0	1.172244	NaN	-10.2	20	NaN	NaN	6597413.469663172	1866.8210913888513	46346	3.0760233918128654	2565
r_pp_light_00035.fits	0	60180.46335290512	2460180.463352905	NaN	NaN	0	1.172909	NaN	-10.2	20	NaN	NaN	6850726.9586520465	1928.7930882092435	46111	5.947839046199702	3355
