Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	57882	60180.47782929381	2460180.477829294	NaN	NaN	0	1.189372	NaN	-10.3	20	NaN	NaN	11231620.289200436	2543.053305097136	57882	27.417696381288614	4532
r_pp_light_00002.fits	57454	60180.47814322915	2460180.478143229	NaN	NaN	0	1.189753	NaN	-10.3	20	NaN	NaN	13043890.943959165	2809.336393647016	57454	28.886442641946697	4315
r_pp_light_00003.fits	57054	60180.47845771955	2460180.4784577196	NaN	NaN	0	1.190136	NaN	-10.3	20	NaN	NaN	12122510.952392336	2676.5855199596094	57054	29.133363370128407	4439
r_pp_light_00004.fits	57741	60180.47877151612	2460180.478771516	NaN	NaN	0	1.190518	NaN	-10.3	20	NaN	NaN	12173826.428700205	2684.7900693865395	57741	30.35674594354301	4499
r_pp_light_00005.fits	57893	60180.4790852312	2460180.479085231	NaN	NaN	0	1.190902	NaN	-10.3	20	NaN	NaN	12635308.151814062	2750.893514958381	57893	30.990827791790874	4361
r_pp_light_00006.fits	57290	60180.47939903941	2460180.4793990394	NaN	NaN	0	1.191287	NaN	-10.3	20	NaN	NaN	12742164.66058401	2765.026779090331	57290	32.80338664158043	4252
r_pp_light_00007.fits	57864	60180.47971283551	2460180.4797128355	NaN	NaN	0	1.191672	NaN	-10.3	20	NaN	NaN	13072419.533601906	2814.9342430795014	57864	30.90643930895221	4457
r_pp_light_00008.fits	57569	60180.48002655059	2460180.4800265506	NaN	NaN	0	1.192059	NaN	-10.3	20	NaN	NaN	11578330.514541201	2595.6414939331507	57569	31.35809312638581	4510
r_pp_light_00009.fits	57457	60180.4803403588	2460180.480340359	NaN	NaN	0	1.192447	NaN	-10.3	20	NaN	NaN	11882509.657772567	2641.172813343059	57457	32.29148082069581	4484
r_pp_light_00010.fits	58343	60180.480654154904	2460180.480654155	NaN	NaN	0	1.192835	NaN	-10.2	20	NaN	NaN	11193672.923657184	2534.7105493758577	58343	30.95903725989354	4321
r_pp_light_00011.fits	56910	60180.480968009215	2460180.480968009	NaN	NaN	0	1.193225	NaN	-10.2	20	NaN	NaN	12477548.834548168	2727.867303870591	56910	31.556422018348623	4360
r_pp_light_00012.fits	56706	60180.4812818286	2460180.4812818286	NaN	NaN	0	1.193616	NaN	-10.2	20	NaN	NaN	12577612.73366639	2742.910653368443	56706	32.83038147138964	4404
r_pp_light_00013.fits	56743	60180.48159567127	2460180.4815956713	NaN	NaN	0	1.194008	NaN	-10.2	20	NaN	NaN	12205983.18530798	2690.4649886921056	56743	30.623065184216262	4587
r_pp_light_00014.fits	57304	60180.481909479015	2460180.481909479	NaN	NaN	0	1.1944	NaN	-10.2	20	NaN	NaN	12702338.379945349	2761.0763056563387	57304	31.42357483533954	4403
r_pp_light_00015.fits	58031	60180.4822232523	2460180.4822232523	NaN	NaN	0	1.194794	NaN	-10.3	20	NaN	NaN	13120746.73024549	2822.774188862963	58031	29.50782110597048	4539
r_pp_light_00016.fits	58387	60180.48253696738	2460180.4825369674	NaN	NaN	0	1.195189	NaN	-10.3	20	NaN	NaN	13751408.214032685	2910.16760516067	58387	32.3115236585918	4417
r_pp_light_00017.fits	58615	60180.482851597015	2460180.482851597	NaN	NaN	0	1.195586	NaN	-10.2	20	NaN	NaN	13592495.597511042	2888.567291416967	58615	31.2140618002687	4466
r_pp_light_00018.fits	57794	60180.48316530092	2460180.483165301	NaN	NaN	0	1.195982	NaN	-10.3	20	NaN	NaN	14406445.548313314	3001.673858168743	57794	30.534817100044073	4538
r_pp_light_00019.fits	58431	60180.48347974522	2460180.483479745	NaN	NaN	0	1.196381	NaN	-10.3	20	NaN	NaN	12898683.213901542	2791.1663753851467	58431	30.862341078474355	4562
r_pp_light_00020.fits	57317	60180.48379430547	2460180.4837943055	NaN	NaN	0	1.196781	NaN	-10.3	20	NaN	NaN	12766131.000986645	2772.081251361592	57317	30.08770006577505	4561
r_pp_light_00021.fits	57908	60180.4841081365	2460180.4841081365	NaN	NaN	0	1.197181	NaN	-10.3	20	NaN	NaN	12368405.148788322	2713.2719227057523	57908	29.998213887028353	4479
