Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00001.fits	56299	60180.465254293755	2460180.4652542938	NaN	NaN	0	1.174949	NaN	-10.2	20	NaN	NaN	11861307.22430009	2635.111213255981	56299	14.229311585512113	4169
r_pp_light_00002.fits	56989	60180.465568784624	2460180.4655687846	NaN	NaN	0	1.17529	NaN	-10.2	20	NaN	NaN	10683522.405381141	2455.0498463952904	56989	15.939657196525006	4259
r_pp_light_00003.fits	56496	60180.46588255791	2460180.465882558	NaN	NaN	0	1.175632	NaN	-10.2	20	NaN	NaN	10609384.279576	2444.7087061410566	56496	18.421016640072942	4387
r_pp_light_00004.fits	57219	60180.46619597217	2460180.466195972	NaN	NaN	0	1.175974	NaN	-10.2	20	NaN	NaN	10690316.213388033	2456.534064798181	57219	17.60906976744186	4300
r_pp_light_00005.fits	57489	60180.466509663966	2460180.466509664	NaN	NaN	0	1.176317	NaN	-10.2	20	NaN	NaN	10684038.510403663	2455.486078579068	57489	16.76910531220876	4292
r_pp_light_00006.fits	56548	60180.46682423586	2460180.466824236	NaN	NaN	0	1.176662	NaN	-10.2	20	NaN	NaN	10155517.999375599	2369.207778812204	56548	14.27125211915718	4129
r_pp_light_00007.fits	56711	60180.46713839099	2460180.467138391	NaN	NaN	0	1.177008	NaN	-10.2	20	NaN	NaN	11038622.805188706	2509.117781718556	56711	13.934124485347542	4129
r_pp_light_00008.fits	55930	60180.46745219873	2460180.4674521987	NaN	NaN	0	1.177354	NaN	-10.2	20	NaN	NaN	10895108.097754363	2489.3829923367457	55930	16.219747416762342	4355
r_pp_light_00009.fits	57361	60180.46776587935	2460180.4677658794	NaN	NaN	0	1.177701	NaN	-10.2	20	NaN	NaN	11802932.381458607	2628.889410627342	57361	17.199362767410104	4394
r_pp_light_00010.fits	56923	60180.46807971038	2460180.4680797104	NaN	NaN	0	1.178049	NaN	-10.2	20	NaN	NaN	11463625.644757353	2578.641450368537	56923	18.03268119164073	4498
r_pp_light_00011.fits	57349	60180.4683933449	2460180.468393345	NaN	NaN	0	1.178398	NaN	-10.2	20	NaN	NaN	10726775.8189082	2463.845683432766	57349	16.603518267929633	4434
r_pp_light_00012.fits	55648	60180.468707059976	2460180.46870706	NaN	NaN	0	1.178749	NaN	-10.2	20	NaN	NaN	11855793.66708392	2637.345008742089	55648	18.053105310531052	4444
r_pp_light_00013.fits	58787	60180.46902071731	2460180.4690207173	NaN	NaN	0	1.1791	NaN	-10.2	20	NaN	NaN	11793957.44600155	2628.3381788488978	58787	18.48400805188996	4471
r_pp_light_00014.fits	57311	60180.46933440957	2460180.4693344096	NaN	NaN	0	1.179452	NaN	-10.2	20	NaN	NaN	11208121.156235522	2539.1052621007484	57311	19.041181736794986	4468
r_pp_light_00015.fits	58119	60180.46964818286	2460180.469648183	NaN	NaN	0	1.179805	NaN	-10.2	20	NaN	NaN	10275001.186749661	2388.131053157438	58119	15.34072089624939	4106
r_pp_light_00016.fits	56592	60180.46996193286	2460180.469961933	NaN	NaN	0	1.18016	NaN	-10.2	20	NaN	NaN	11750331.392382964	2620.9948858150433	56592	18.06546942486929	4399
r_pp_light_00017.fits	55334	60180.47027657414	2460180.470276574	NaN	NaN	0	1.180516	NaN	-10.2	20	NaN	NaN	11365281.461770717	2561.4094815830213	55334	16.809634628810798	4297
r_pp_light_00018.fits	56156	60180.47059099516	2460180.470590995	NaN	NaN	0	1.180873	NaN	-10.2	20	NaN	NaN	12317872.850290496	2701.2195135039365	56156	14.084468664850137	4037
r_pp_light_00019.fits	56407	60180.47090479173	2460180.4709047917	NaN	NaN	0	1.18123	NaN	-10.2	20	NaN	NaN	12429506.908181712	2720.555852903527	56407	16.19677494741762	4279
r_pp_light_00020.fits	56076	60180.471218552906	2460180.471218553	NaN	NaN	0	1.181589	NaN	-10.2	20	NaN	NaN	11006367.159539184	2508.173006670804	56076	17.72589623691828	4491
r_pp_light_00021.fits	58241	60180.47153225681	2460180.471532257	NaN	NaN	0	1.181948	NaN	-10.2	20	NaN	NaN	11211322.142200166	2539.348816752567	58241	17.460464068483894	4439
r_pp_light_00022.fits	57510	60180.471846041735	2460180.4718460417	NaN	NaN	0	1.182308	NaN	-10.2	20	NaN	NaN	10864550.64193485	2484.515305581074	57510	16.95287356321839	4350
r_pp_light_00023.fits	56687	60180.472159802914	2460180.472159803	NaN	NaN	0	1.18267	NaN	-10.2	20	NaN	NaN	9305186.82527299	2232.413272233931	56687	17.595993697951833	4443
r_pp_light_00024.fits	57206	60180.47247452522	2460180.472474525	NaN	NaN	0	1.183033	NaN	-10.2	20	NaN	NaN	9675851.646142833	2293.3780219077858	57206	18.80545371219065	4364
r_pp_light_00025.fits	56001	60180.47278833296	2460180.472788333	NaN	NaN	0	1.183396	NaN	-10.2	20	NaN	NaN	10667009.518224152	2453.088051253082	56001	19.24849745723532	4326
r_pp_light_00026.fits	55588	60180.47310281219	2460180.473102812	NaN	NaN	0	1.183762	NaN	-10.2	20	NaN	NaN	11356689.440654945	2560.794661936004	55588	17.488302752293578	4360
r_pp_light_00027.fits	57465	60180.47341660876	2460180.4734166088	NaN	NaN	0	1.184127	NaN	-10.2	20	NaN	NaN	10367178.380951485	2405.5514985585846	57465	18.341716658975542	4334
r_pp_light_00028.fits	57521	60180.4737304165	2460180.4737304165	NaN	NaN	0	1.184493	NaN	-10.3	20	NaN	NaN	11243026.450682132	2543.9305379912043	57521	18.796468191079917	4417
r_pp_light_00029.fits	57223	60180.47404410876	2460180.4740441088	NaN	NaN	0	1.184861	NaN	-10.3	20	NaN	NaN	10263516.050390255	2388.6995302999417	57223	18.02665739452944	4314
r_pp_light_00030.fits	57957	60180.474358009174	2460180.474358009	NaN	NaN	0	1.185229	NaN	-10.3	20	NaN	NaN	10847863.800916433	2482.170595247727	57957	20.502393435149305	4387
r_pp_light_00031.fits	58331	60180.47467171261	2460180.4746717126	NaN	NaN	0	1.185599	NaN	-10.3	20	NaN	NaN	9791396.286308331	2312.063079700139	58331	20.989628946761925	4339
r_pp_light_00032.fits	58390	60180.47498539323	2460180.474985393	NaN	NaN	0	1.185969	NaN	-10.3	20	NaN	NaN	9835950.46842594	2319.4999773640493	58390	20.96481949873534	4349
r_pp_light_00033.fits	57674	60180.475299814716	2460180.4752998147	NaN	NaN	0	1.186341	NaN	-10.3	20	NaN	NaN	9846216.010090794	2322.7607078431015	57674	18.484158857652833	4482
r_pp_light_00034.fits	56942	60180.47561344877	2460180.475613449	NaN	NaN	0	1.186714	NaN	-10.3	20	NaN	NaN	10378718.491200622	2408.065177106825	56942	17.105287146763903	4388
r_pp_light_00035.fits	58585	60180.475927071646	2460180.4759270716	NaN	NaN	0	1.187087	NaN	-10.3	20	NaN	NaN	10074344.336589163	2359.9544615366176	58585	17.80898123324397	4476
