# JD_UT V-C err
2460179.585322 -2.787757 0.001123
2460179.585868 -2.761863 0.000903
2460179.586415 -2.727419 0.000994
2460179.586961 -2.839606 0.001034
2460179.587507 -2.873613 0.001013
2460179.588054 -2.812386 0.000943
2460179.588601 -2.956615 0.000976
2460179.589148 -2.907119 0.000968
2460179.589694 -2.911309 0.001037
2460179.590240 -2.841471 0.000963
2460179.590786 -2.907749 0.000909
2460179.591333 -2.957910 0.000927
2460179.591879 -3.061659 0.001089
2460179.592425 -3.137110 0.001088
2460179.592972 -3.158540 0.001047
2460179.593518 -3.089916 0.001084
2460179.594064 -2.883552 0.000992
2460179.594610 -3.080469 0.000977
2460179.595157 -2.930652 0.000958
2460179.595703 -2.854625 0.000881
