# JD_UT V-C err
2460180.373019 -6.453586 0.004316
2460180.373275 -6.484177 0.004349
2460180.373531 -6.469700 0.003761
2460180.373787 -6.552359 0.003486
2460180.374043 -6.470114 0.003858
2460180.374298 -6.467157 0.003488
2460180.374554 -6.552537 0.003789
2460180.374810 -6.543719 0.003915
2460180.375066 -6.705806 0.004825
2460180.375321 -6.514571 0.003884
2460180.375576 -6.458353 0.003621
2460180.375832 -6.463862 0.003629
2460180.376087 -6.493718 0.003660
2460180.376342 -6.403175 0.003874
2460180.376598 -6.489572 0.003876
2460180.376853 -6.481906 0.003912
2460180.377108 -6.585741 0.004449
2460180.377364 -6.570684 0.004091
2460180.377620 -6.463597 0.003892
2460180.377875 -6.427337 0.003810
2460180.378131 -6.471596 0.004115
2460180.378386 -6.482540 0.004049
2460180.378641 -6.367029 0.003556
2460180.378896 -6.482159 0.003897
2460180.379152 -6.388098 0.003780
2460180.379407 -6.436679 0.003501
2460180.379663 -6.415937 0.003602
2460180.379918 -6.384559 0.003684
2460180.380174 -6.429292 0.003539
2460180.380436 -6.422881 0.004071
2460180.380691 -6.546361 0.004108
2460180.380947 -6.583690 0.004199
2460180.381203 -6.560853 0.004057
2460180.381458 -6.622149 0.004293
2460180.381713 -6.489540 0.003818
2460180.381968 -6.761795 0.004662
2460180.382224 -6.445958 0.003986
2460180.382479 -6.471279 0.003852
2460180.382735 -6.400522 0.003982
2460180.382991 -6.389474 0.003760
2460180.383247 -6.326493 0.003730
2460180.383502 -6.425559 0.003575
2460180.383758 -6.379358 0.003837
2460180.384014 -6.415181 0.003668
2460180.384270 -6.440954 0.004304
2460180.384526 -6.513387 0.004110
2460180.384781 -6.402851 0.003838
2460180.385036 -6.415470 0.004035
2460180.385292 -6.362241 0.003642
2460180.385548 -6.332715 0.003882
