# JD_UT V-C err
2460180.539531 -5.170541 0.001650
2460180.539845 -5.159083 0.001635
2460180.540159 -5.196185 0.001809
2460180.540474 -5.104061 0.001757
2460180.540788 -5.205261 0.001691
2460180.541102 -5.138570 0.001875
2460180.541416 -5.282567 0.002067
2460180.541731 -5.055159 0.001685
2460180.542045 -5.104606 0.001705
2460180.542359 -5.076320 0.001698
2460180.542673 -5.047847 0.001762
2460180.542987 -5.180505 0.001675
2460180.543302 -5.090284 0.001569
2460180.543617 -5.077116 0.001783
2460180.543931 -5.159267 0.001719
2460180.544246 -5.120200 0.001764
2460180.544560 -5.055249 0.001718
2460180.544874 -5.014002 0.001672
2460180.545188 -5.144928 0.001728
2460180.545502 -5.149181 0.001757
2460180.545817 -5.235092 0.001966
2460180.546131 -5.139629 0.002020
2460180.546446 -5.132701 0.001633
2460180.546759 -5.084581 0.001687
2460180.547074 -5.116626 0.001692
2460180.547387 -5.146697 0.001721
2460180.547702 -5.106282 0.001698
2460180.548016 -5.074403 0.001608
2460180.548330 -5.052584 0.001600
2460180.548643 -5.119875 0.001664
2460180.548957 -5.154171 0.001817
2460180.549272 -5.104639 0.001695
2460180.549586 -5.128877 0.001754
2460180.549900 -5.311783 0.001905
2460180.550214 -5.460859 0.002327
2460180.550529 -5.102872 0.001642
2460180.550842 -5.126962 0.001778
2460180.551156 -5.321233 0.002315
2460180.551470 -5.334876 0.002183
