# JD_UT V-C err
2460179.557119 -3.794180 0.000928
2460179.557548 -3.795332 0.000805
2460179.557977 -3.761052 0.000794
2460179.558407 -3.771591 0.000759
2460179.558835 -3.789916 0.000771
2460179.559264 -3.774622 0.000815
2460179.559693 -3.765918 0.000744
2460179.560121 -3.759999 0.000753
2460179.560550 -3.817421 0.000780
2460179.560979 -3.782525 0.000803
2460179.561407 -3.817448 0.000806
2460179.561837 -3.788056 0.000759
2460179.562265 -3.812625 0.000810
2460179.562694 -3.779246 0.000776
2460179.563123 -3.780186 0.000790
2460179.563552 -3.752594 0.000837
2460179.563981 -3.768623 0.000799
2460179.564410 -3.744258 0.000786
2460179.564838 -3.773271 0.000779
2460179.565267 -3.801993 0.000815
2460179.565695 -3.750894 0.000804
2460179.566124 -3.779006 0.000758
2460179.566553 -3.857806 0.000829
2460179.566982 -3.744928 0.000777
2460179.567412 -3.750077 0.000817
2460179.567841 -3.739585 0.000751
2460179.568270 -3.869431 0.000806
2460179.568698 -3.756091 0.000792
2460179.569127 -3.800609 0.000778
2460179.569556 -3.756693 0.000760
