# JD_UT V-C err
2460179.544236 -3.147497 0.000727
2460179.544665 -3.092426 0.000684
2460179.545094 -3.132977 0.000680
2460179.545523 -3.138776 0.000668
2460179.545952 -3.099874 0.000657
2460179.546381 -3.156324 0.000674
2460179.546810 -3.155425 0.000675
2460179.547239 -3.228482 0.000652
2460179.547668 -3.186893 0.000651
2460179.548097 -3.181945 0.000670
2460179.548525 -3.131055 0.000655
2460179.548955 -3.131127 0.000673
2460179.549383 -3.070543 0.000656
2460179.549812 -3.108614 0.000664
2460179.550242 -3.101539 0.000695
2460179.550670 -3.122232 0.000674
2460179.551099 -3.155412 0.000664
2460179.551528 -3.125146 0.000710
2460179.551957 -3.082729 0.000682
2460179.552385 -3.128013 0.000660
2460179.552814 -3.160225 0.000673
2460179.553242 -3.195502 0.000721
2460179.553671 -3.220861 0.000676
2460179.554100 -3.158341 0.000705
2460179.554529 -3.136984 0.000678
2460179.554957 -3.127658 0.000672
2460179.555386 -3.149612 0.000682
2460179.555815 -3.118014 0.000694
2460179.556244 -3.114467 0.000732
2460179.556673 -3.250461 0.000712
