# JD_UT V-C err
2460180.410430 -7.156728 0.009501
2460180.410686 -7.382034 0.011547
2460180.410942 -7.551740 0.014204
2460180.411198 -7.576903 0.014864
2460180.411454 -7.523792 0.013031
2460180.411710 -7.415104 0.011788
2460180.411966 -7.434680 0.012758
2460180.412222 -7.479205 0.011928
2460180.412478 -7.668188 0.013920
2460180.412733 -7.447152 0.012526
2460180.412989 -7.424131 0.009760
2460180.413245 -7.485874 0.010682
2460180.413501 -7.551913 0.012580
2460180.413757 -7.668148 0.013997
2460180.414525 -7.729390 0.013089
2460180.414781 -7.591616 0.011073
2460180.415294 -7.705428 0.014055
2460180.415805 -7.893598 0.014863
2460180.416317 -7.873905 0.013956
2460180.417085 -7.648268 0.014387
2460180.419388 -7.870959 0.017095
2460180.419644 -7.717389 0.015728
2460180.419900 -7.528806 0.012513
2460180.420156 -7.744501 0.015407
2460180.420412 -7.597684 0.014834
2460180.420668 -7.588016 0.016069
2460180.420924 -7.552390 0.016835
2460180.421436 -7.693216 0.015775
2460180.421693 -7.673503 0.013864
2460180.421948 -7.647808 0.013193
2460180.422205 -7.656025 0.013397
2460180.422460 -7.585559 0.014377
2460180.422716 -7.705013 0.015535
2460180.422972 -7.766333 0.013638
