# JD_UT V-C err
2460180.436058 -7.853423 0.022023
2460180.436570 -7.806597 0.011700
2460180.436826 -7.758079 0.011779
2460180.437083 -7.838211 0.010863
2460180.437594 -7.698027 0.013886
2460180.438362 -7.682277 0.022426
2460180.439385 -8.296686 0.013599
2460180.439641 -8.150686 0.009608
2460180.439896 -7.762613 0.013109
2460180.440152 -7.580029 0.007208
2460180.440408 -7.706299 0.010525
2460180.440664 -7.745865 0.008964
2460180.440920 -7.686888 0.008693
2460180.441175 -7.623999 0.007449
2460180.441431 -7.620862 0.006784
2460180.441687 -7.603925 0.007250
2460180.442199 -7.764325 0.009049
2460180.442455 -7.647182 0.006934
2460180.442710 -7.557193 0.006795
2460180.442966 -7.456711 0.008162
2460180.443222 -7.324579 0.005568
2460180.443478 -7.415534 0.006501
2460180.443734 -7.432833 0.005596
2460180.443990 -7.454758 0.005838
2460180.444247 -7.439138 0.007405
2460180.444502 -7.464214 0.006808
2460180.444759 -7.465804 0.006237
2460180.445014 -7.407189 0.005678
2460180.445270 -7.367685 0.006971
2460180.445526 -7.532927 0.007803
2460180.445782 -7.360026 0.006127
2460180.446038 -7.443110 0.006301
2460180.446295 -7.377118 0.005646
2460180.446551 -7.390860 0.006544
2460180.446807 -7.451897 0.006351
2460180.447063 -7.515051 0.006304
2460180.447318 -7.336681 0.007297
2460180.447574 -7.422571 0.005908
2460180.447830 -7.396354 0.010025
