# JD_UT V-C err
2460180.452675 -5.923391 0.009430
2460180.452989 -6.135807 0.005534
2460180.453303 -6.282340 0.005790
2460180.453617 -6.215784 0.006000
2460180.453931 -6.021950 0.004616
2460180.454245 -6.004188 0.005294
2460180.454559 -5.939529 0.004729
2460180.454873 -6.093763 0.005066
2460180.455187 -6.024559 0.005068
2460180.455501 -6.014032 0.004582
2460180.455815 -6.166397 0.005549
2460180.456129 -6.149047 0.005649
2460180.456443 -6.041983 0.005254
2460180.456757 -5.982864 0.005289
2460180.457072 -5.986517 0.004891
2460180.457386 -5.823353 0.004430
2460180.457700 -5.946718 0.005352
2460180.458014 -6.063388 0.005430
2460180.458328 -6.125133 0.005308
2460180.458642 -6.011395 0.005442
2460180.458957 -6.021514 0.005040
2460180.459271 -6.065921 0.005791
2460180.459585 -6.110309 0.005445
2460180.459899 -6.242687 0.006842
2460180.460213 -6.270001 0.006167
2460180.460526 -6.152210 0.005171
2460180.460840 -6.082766 0.005239
2460180.461155 -6.156394 0.005958
2460180.461469 -6.119721 0.006139
2460180.461783 -6.153725 0.006058
2460180.462097 -6.131341 0.005945
2460180.462411 -6.227368 0.005889
2460180.462726 -6.080019 0.005625
2460180.463353 -6.110357 0.005525
