# JD_UT V-C err
2460180.465254 -5.469603 0.003255
2460180.465569 -5.410827 0.003030
2460180.465883 -5.415874 0.002636
2460180.466196 -5.423006 0.003047
2460180.466510 -5.414725 0.003083
2460180.466824 -5.347205 0.002945
2460180.467138 -5.438545 0.002465
2460180.467452 -5.439718 0.002927
2460180.467766 -5.554595 0.003593
2460180.468080 -5.520651 0.003277
2460180.468393 -5.421095 0.003061
2460180.468707 -5.580037 0.003114
2460180.469021 -5.549294 0.003536
2460180.469334 -5.478052 0.003131
2460180.469648 -5.365170 0.002948
2460180.469962 -5.531984 0.003309
2460180.470277 -5.483655 0.003571
2460180.470591 -5.546383 0.003411
2460180.470905 -5.612582 0.003829
2460180.471219 -5.450287 0.003122
2460180.471532 -5.478271 0.003583
2460180.471846 -5.442197 0.003289
2460180.472160 -5.237733 0.002581
2460180.472475 -5.283489 0.002781
2460180.472788 -5.399640 0.003103
2460180.473103 -5.474385 0.003285
2460180.473417 -5.379400 0.002943
2460180.473730 -5.476811 0.003308
2460180.474044 -5.351576 0.002935
2460180.474358 -5.427297 0.003170
2460180.474672 -5.285651 0.003105
2460180.474985 -5.326793 0.002860
2460180.475300 -5.316034 0.002907
2460180.475613 -5.380723 0.002814
2460180.475927 -5.342711 0.003035
2460180.476241 -5.255375 0.003082
2460180.476556 -5.591531 0.004572
2460180.476869 -5.688513 0.003912
2460180.477184 -5.617112 0.003735
2460180.477498 -5.480390 0.003544
