# JD_UT V-C err
2460179.596266 -2.813877 0.000803
2460179.596813 -2.948907 0.000728
2460179.597359 -2.723400 0.000701
2460179.597906 -2.850501 0.000688
2460179.598452 -2.852655 0.000722
2460179.598998 -2.807688 0.000742
2460179.599546 -2.754294 0.000721
2460179.600092 -2.757010 0.000738
2460179.600639 -2.736883 0.000726
2460179.601185 -2.795883 0.000693
2460179.601731 -2.773137 0.000717
2460179.602277 -2.967989 0.000714
2460179.602823 -2.830979 0.000706
2460179.603370 -2.899088 0.000694
2460179.603916 -2.871097 0.000714
2460179.604463 -2.713588 0.000707
2460179.605010 -2.713901 0.000695
2460179.605556 -2.783341 0.000747
2460179.606100 -2.769360 0.000737
2460179.606645 -2.759198 0.000733
