# JD_UT V-C err
2460179.585322 -2.505006 0.000725
2460179.585868 -2.467088 0.000646
2460179.586415 -2.440148 0.000671
2460179.586961 -2.532067 0.000677
2460179.587507 -2.574525 0.000651
2460179.588054 -2.507473 0.000656
2460179.588601 -2.645521 0.000665
2460179.589148 -2.612326 0.000663
2460179.589694 -2.625910 0.000722
2460179.590240 -2.549222 0.000661
2460179.590786 -2.611848 0.000642
2460179.591333 -2.643945 0.000627
2460179.591879 -2.751247 0.000625
2460179.592425 -2.801133 0.000643
2460179.592972 -2.820255 0.000629
2460179.593518 -2.772589 0.000664
2460179.594064 -2.564663 0.000655
2460179.594610 -2.764804 0.000617
2460179.595157 -2.606470 0.000642
2460179.595703 -2.542594 0.000623
