# JD_UT V-C err
2460180.360218 -5.526535 0.002331
2460180.360473 -5.542862 0.002814
2460180.360729 -5.538248 0.002629
2460180.360985 -5.506474 0.002594
2460180.361241 -5.531929 0.002516
2460180.361497 -5.562380 0.002557
2460180.361753 -5.522743 0.002558
2460180.362008 -5.491747 0.002625
2460180.362264 -5.518408 0.002797
2460180.362520 -5.526283 0.002589
2460180.362775 -5.529914 0.002793
2460180.363031 -5.498314 0.002773
2460180.363286 -5.456721 0.002594
2460180.363542 -5.466624 0.002792
2460180.363798 -5.540932 0.002611
2460180.364054 -5.577646 0.002909
2460180.364310 -5.551918 0.002617
2460180.364565 -5.555365 0.002933
2460180.364821 -5.515704 0.002755
2460180.365077 -5.553729 0.002551
2460180.365332 -5.546572 0.002681
2460180.365588 -5.515037 0.002730
2460180.365843 -5.508438 0.002650
2460180.366100 -5.510161 0.002619
2460180.366355 -5.533193 0.002712
2460180.366610 -5.462217 0.002545
2460180.366866 -5.514855 0.002603
2460180.367121 -5.486953 0.002745
2460180.367377 -5.465589 0.002983
2460180.367632 -5.513234 0.002949
2460180.367888 -5.520993 0.002591
2460180.368144 -5.514061 0.002771
2460180.368400 -5.483490 0.002911
2460180.368656 -5.546114 0.002946
2460180.368912 -5.513416 0.002891
2460180.369168 -5.556152 0.002677
2460180.369423 -5.525317 0.002803
2460180.369678 -5.508938 0.002612
2460180.369934 -5.504859 0.002789
2460180.370189 -5.540760 0.002813
2460180.370445 -5.493430 0.002736
2460180.370700 -5.479531 0.002827
2460180.370956 -5.535724 0.002849
2460180.371213 -5.539782 0.002876
2460180.371468 -5.564553 0.002663
2460180.371723 -5.554506 0.002872
2460180.371979 -5.587879 0.002697
2460180.372235 -5.559077 0.002856
2460180.372491 -5.535894 0.002654
2460180.372746 -5.591758 0.002831
