# JD_UT V-C err
2460180.539531 -3.033463 0.001216
2460180.539845 -3.009714 0.001178
2460180.540159 -3.037910 0.001228
2460180.540474 -3.000976 0.001261
2460180.540788 -3.035664 0.001211
2460180.541102 -2.988603 0.001326
2460180.541416 -3.042218 0.001249
2460180.541731 -2.996062 0.001264
2460180.542045 -2.998472 0.001219
2460180.542359 -2.978539 0.001226
2460180.542673 -2.966896 0.001225
2460180.542987 -3.051403 0.001233
2460180.543302 -3.016638 0.001181
2460180.543617 -3.015994 0.001298
2460180.543931 -2.997573 0.001195
2460180.544246 -3.015224 0.001252
2460180.544560 -2.970957 0.001227
2460180.544874 -2.928936 0.001195
2460180.545188 -3.022509 0.001268
2460180.545502 -2.980751 0.001208
2460180.545817 -3.010053 0.001255
2460180.546131 -2.973939 0.001336
2460180.546446 -3.014122 0.001208
2460180.546759 -2.991363 0.001263
2460180.547074 -3.014497 0.001270
2460180.547387 -2.999868 0.001255
2460180.547702 -2.984452 0.001248
2460180.548016 -3.002933 0.001194
2460180.548330 -2.977614 0.001209
2460180.548643 -3.018058 0.001247
2460180.548957 -2.997591 0.001241
2460180.549272 -2.980462 0.001246
2460180.549586 -2.995044 0.001299
2460180.549900 -3.050157 0.001233
2460180.550214 -3.157508 0.001322
2460180.550529 -2.994615 0.001222
2460180.550842 -2.981593 0.001254
2460180.551156 -3.072211 0.001286
2460180.551470 -3.074498 0.001290
