# JD_UT V-C err
2460180.514339 -3.041020 0.001815
2460180.514654 -2.996205 0.001660
2460180.514969 -3.014997 0.001679
2460180.515283 -3.006478 0.002111
2460180.515597 -2.954381 0.001757
2460180.515912 -2.987547 0.001820
2460180.516228 -3.014139 0.001850
2460180.516542 -3.002366 0.001951
2460180.516857 -2.989386 0.001744
2460180.517172 -2.991311 0.001894
2460180.517487 -2.976695 0.001867
2460180.517801 -2.972297 0.001992
2460180.518115 -2.920580 0.002081
2460180.518430 -2.929260 0.002038
2460180.518745 -2.972012 0.001833
2460180.519059 -3.067522 0.001829
2460180.519373 -3.086083 0.001762
2460180.519687 -3.012261 0.001830
2460180.520002 -2.967056 0.001737
2460180.520315 -2.986527 0.001676
2460180.520630 -2.925246 0.001688
2460180.520943 -2.954012 0.001837
2460180.521258 -2.904687 0.001893
2460180.521572 -2.930938 0.001936
2460180.521887 -2.903009 0.001739
2460180.522201 -2.985622 0.001669
2460180.522515 -2.969139 0.001682
2460180.522829 -2.935267 0.001892
2460180.523142 -2.930921 0.001916
2460180.523457 -2.931117 0.001724
2460180.523772 -2.928169 0.002044
2460180.524086 -2.925168 0.001905
2460180.524400 -2.923672 0.001683
2460180.524715 -2.892364 0.001643
2460180.525029 -2.985500 0.001974
2460180.525344 -2.983954 0.001728
2460180.525658 -2.945610 0.001755
2460180.525972 -2.993834 0.002061
2460180.526287 -3.015317 0.001795
2460180.526601 -2.958292 0.001923
