# JD_UT V-C err
2460180.436058 -4.929686 0.003829
2460180.436314 -4.921234 0.002921
2460180.436570 -4.764193 0.002252
2460180.436826 -4.768671 0.002469
2460180.437083 -4.800516 0.002107
2460180.437594 -4.989297 0.002592
2460180.438362 -5.260032 0.003982
2460180.439385 -5.012318 0.002980
2460180.439641 -4.793229 0.002047
2460180.439896 -4.725239 0.002301
2460180.440152 -4.591802 0.001919
2460180.440408 -4.677629 0.002180
2460180.440664 -4.590783 0.001836
2460180.440920 -4.687251 0.001985
2460180.441175 -4.496514 0.001719
2460180.441431 -4.462959 0.001644
2460180.441687 -4.493835 0.001632
2460180.442199 -4.561454 0.001654
2460180.442455 -4.518871 0.001660
2460180.442710 -4.456550 0.001677
2460180.442966 -4.422829 0.001658
2460180.443222 -4.372998 0.001702
2460180.443478 -4.423076 0.001608
2460180.443734 -4.424920 0.001550
2460180.443990 -4.433995 0.001554
2460180.444247 -4.419608 0.001757
2460180.444502 -4.465703 0.001662
2460180.444759 -4.412021 0.001588
2460180.445014 -4.419610 0.001613
2460180.445270 -4.382156 0.001767
2460180.445526 -4.466172 0.001704
2460180.445782 -4.392405 0.001550
2460180.446038 -4.446004 0.001539
2460180.446295 -4.396938 0.001565
2460180.446551 -4.399426 0.001784
2460180.446807 -4.431150 0.001681
2460180.447063 -4.435961 0.001491
2460180.447318 -4.371828 0.001971
2460180.447574 -4.403910 0.001609
2460180.447830 -4.382327 0.001725
2460180.448086 -4.382480 0.001705
